map_id,product_id,supplier_id,supplier_role,effective_from,effective_to,currency,unit_cost_local,moq_qty,contract_lead_time_days,expected_defect_rate,freight_mode
MAP0022,P004,S001,Primary,2025-01-01,,MYR,85.527,1,21,0.0099,Sea
MAP0023,P004,S001,Primary,2025-10-01,,MYR,84.518,1,24,0.0138,Sea
MAP0024,P004,S001,Primary,2026-04-01,,MYR,87.4011,1,28,0.0149,Sea
MAP0025,P004,S003,Backup,2025-01-01,,VND,417229.01,2,10,0.0122,Truck
MAP0026,P004,S003,Backup,2025-10-01,,VND,421559.3816,1,10,0.0103,Truck
MAP0027,P004,S003,Backup,2026-04-01,,VND,426490.2671,1,11,0.0124,Truck
MAP0028,P005,S003,Primary,2025-01-01,,VND,452628.4706,8,5,0.0116,Truck
MAP0029,P005,S003,Primary,2025-10-01,,VND,450772.4339,8,9,0.012,Truck
MAP0030,P005,S003,Primary,2026-04-01,,VND,486273.7277,4,10,0.0102,Truck
MAP0031,P005,S002,Backup,2025-01-01,,USD,16.1505,8,20,0.008,Sea
MAP0032,P005,S002,Backup,2025-10-01,,USD,16.5605,8,23,0.0058,Sea
MAP0033,P005,S002,Backup,2026-04-01,,USD,16.9707,4,20,0.0089,Sea
MAP0034,P006,S003,Primary,2025-01-01,,VND,458389.7415,1,8,0.0114,Truck
MAP0035,P006,S003,Primary,2025-10-01,,VND,463758.5862,1,6,0.0129,Truck
MAP0036,P006,S003,Primary,2026-04-01,,VND,478270.5275,1,10,0.0107,Truck
MAP0037,P006,S002,Backup,2025-01-01,,USD,17.8107,1,20,0.0094,Sea
MAP0038,P006,S002,Backup,2025-10-01,,USD,17.7381,1,25,0.01,Sea
MAP0039,P006,S002,Backup,2026-04-01,,USD,18.3272,2,18,0.0077,Sea
MAP0040,P006,S001,Backup,2025-01-01,,MYR,80.5831,1,22,0.014,Sea
MAP0041,P006,S001,Backup,2025-10-01,,MYR,85.2112,2,28,0.0134,Sea
MAP0042,P006,S001,Backup,2026-04-01,,MYR,81.4743,2,21,0.0118,Sea
MAP0043,P007,S015,Primary,2025-01-01,,USD,4.3935,4,22,0.0098,Sea
MAP0044,P007,S015,Primary,2025-10-01,,USD,4.6517,5,17,0.0113,Sea
MAP0045,P007,S015,Primary,2026-04-01,,USD,4.6347,4,21,0.0095,Sea
MAP0046,P007,S003,Backup,2025-01-01,,VND,132038.3001,4,10,0.0071,Truck
MAP0047,P007,S003,Backup,2025-10-01,,VND,134824.6359,3,11,0.007,Truck
MAP0048,P007,S003,Backup,2026-04-01,,VND,132525.4254,3,10,0.01,Truck
MAP0049,P008,S015,Primary,2025-01-01,,USD,10.1075,5,17,0.0107,Sea
MAP0050,P008,S015,Primary,2025-10-01,,USD,10.1917,8,20,0.0065,Sea
MAP0051,P008,S015,Primary,2026-04-01,,USD,10.4773,6,21,0.0112,Sea
MAP0052,P008,S013,Backup,2025-01-01,,USD,10.2821,6,36,0.0207,Sea
MAP0053,P008,S013,Backup,2025-10-01,,USD,10.8378,7,36,0.0185,Sea
MAP0054,P008,S013,Backup,2026-04-01,,USD,10.4124,6,37,0.0283,Sea
MAP0055,P009,S015,Primary,2025-01-01,,USD,6.4582,2,18,0.0103,Sea
MAP0056,P009,S015,Primary,2025-10-01,,USD,6.8111,1,22,0.0075,Sea
MAP0057,P009,S015,Primary,2026-04-01,,USD,6.797,1,24,0.0076,Sea
MAP0058,P009,S003,Backup,2025-01-01,,VND,172031.4362,2,8,0.0126,Truck
MAP0059,P009,S003,Backup,2025-10-01,,VND,178471.6381,1,8,0.0091,Truck
MAP0060,P009,S003,Backup,2026-04-01,,VND,179086.4015,1,11,0.011,Truck
MAP0061,P010,S013,Primary,2025-01-01,,USD,9.269,2,38,0.0263,Sea
MAP0062,P010,S013,Primary,2025-10-01,,USD,9.4219,2,40,0.031,Sea
MAP0063,P010,S013,Primary,2026-04-01,,USD,9.5821,2,35,0.0171,Sea
MAP0064,P010,S003,Backup,2025-01-01,,VND,252335.0404,2,8,0.008,Truck
MAP0065,P010,S003,Backup,2025-10-01,,VND,248128.7628,1,12,0.0071,Truck
MAP0066,P010,S003,Backup,2026-04-01,,VND,268117.3815,2,10,0.009,Truck
MAP0067,P011,S003,Primary,2025-01-01,,VND,190590.2643,4,11,0.0088,Truck
MAP0068,P011,S003,Primary,2025-10-01,,VND,193383.9082,3,9,0.0072,Truck
MAP0069,P011,S003,Primary,2026-04-01,,VND,203308.766,2,5,0.0071,Truck
MAP0070,P011,S015,Backup,2025-01-01,,USD,8.4595,4,20,0.0089,Sea
MAP0071,P011,S015,Backup,2025-10-01,,USD,8.7854,4,18,0.0113,Sea
MAP0072,P011,S015,Backup,2026-04-01,,USD,8.6165,4,21,0.0115,Sea
MAP0073,P012,S014,Primary,2025-01-01,,VND,270827.7312,3,11,0.0118,Truck
MAP0074,P012,S014,Primary,2025-10-01,,VND,281247.2222,3,11,0.0098,Truck
MAP0075,P012,S014,Primary,2026-04-01,,VND,287242.5753,4,7,0.0141,Truck
MAP0076,P012,S004,Backup,2025-01-01,,VND,233426.4661,3,9,0.0134,Truck
MAP0077,P012,S004,Backup,2025-10-01,,VND,237637.0078,4,14,0.0168,Truck
MAP0078,P012,S004,Backup,2026-04-01,,VND,246847.4925,4,14,0.0156,Truck
MAP0079,P013,S014,Primary,2025-01-01,,VND,237527.3259,5,12,0.0157,Truck
MAP0080,P013,S014,Primary,2025-10-01,,VND,243349.6941,7,8,0.0132,Truck
MAP0081,P013,S014,Primary,2026-04-01,,VND,253240.5303,6,9,0.0138,Truck
MAP0082,P013,S004,Backup,2025-01-01,,VND,257003.2907,5,11,0.0138,Truck
MAP0083,P013,S004,Backup,2025-10-01,,VND,264660.7868,6,15,0.0168,Truck
MAP0084,P013,S004,Backup,2026-04-01,,VND,276276.758,5,12,0.0111,Truck
MAP0085,P014,S014,Primary,2025-01-01,,VND,266969.5427,3,11,0.0091,Truck
MAP0086,P014,S014,Primary,2025-10-01,,VND,272999.5727,4,11,0.0163,Truck
MAP0087,P014,S014,Primary,2026-04-01,,VND,285543.6164,4,12,0.0102,Truck
MAP0088,P014,S004,Backup,2025-01-01,,VND,306883.7262,4,11,0.012,Truck
MAP0089,P014,S004,Backup,2025-10-01,,VND,305913.9306,4,10,0.0168,Truck
MAP0090,P014,S004,Backup,2026-04-01,,VND,319695.346,4,12,0.0133,Truck
MAP0091,P015,S014,Primary,2025-01-01,,VND,96292.983,3,11,0.0168,Truck
MAP0092,P015,S014,Primary,2025-10-01,,VND,96811.3957,2,8,0.0121,Truck
MAP0093,P015,S014,Primary,2026-04-01,,VND,98736.4801,2,12,0.0152,Truck
MAP0094,P015,S004,Backup,2025-01-01,,VND,82252.4847,3,10,0.0163,Truck
MAP0095,P015,S004,Backup,2025-10-01,,VND,81434.6583,3,16,0.0138,Truck
MAP0096,P015,S004,Backup,2026-04-01,,VND,84133.9679,3,9,0.0119,Truck
MAP0097,P016,S014,Primary,2025-01-01,,VND,408277.6237,4,7,0.0127,Truck
MAP0098,P016,S014,Primary,2025-10-01,,VND,427182.4502,4,7,0.0126,Truck
MAP0099,P016,S014,Primary,2026-04-01,,VND,417217.1125,6,12,0.0119,Truck
MAP0100,P016,S004,Backup,2025-01-01,,VND,367323.9212,4,10,0.0142,Truck
MAP0101,P016,S004,Backup,2025-10-01,,VND,374249.1981,5,14,0.0104,Truck
MAP0102,P016,S004,Backup,2026-04-01,,VND,372818.6193,4,10,0.0136,Truck
MAP0103,P017,S016,Primary,2025-01-01,,VND,140324.5042,2,8,0.0226,Truck
MAP0104,P017,S016,Primary,2025-10-01,,VND,148051.1272,2,10,0.0134,Truck
MAP0105,P017,S016,Primary,2026-04-01,,VND,142785.4773,1,6,0.0155,Truck
MAP0106,P017,S006,Backup,2025-01-01,,USD,5.049,2,30,0.0137,Sea
MAP0107,P017,S006,Backup,2025-10-01,,USD,5.2529,2,31,0.0205,Sea
MAP0108,P017,S006,Backup,2026-04-01,,USD,5.0522,2,25,0.0178,Sea
MAP0109,P017,S005,Backup,2025-01-01,,USD,6.0327,2,37,0.016,Sea
MAP0110,P017,S005,Backup,2025-10-01,,USD,6.0965,2,39,0.0141,Sea
MAP0111,P017,S005,Backup,2026-04-01,,USD,6.3897,2,39,0.0229,Sea
MAP0112,P018,S006,Primary,2025-01-01,,USD,8.6463,4,29,0.0117,Sea
MAP0113,P018,S006,Primary,2025-10-01,,USD,8.8817,3,26,0.0136,Sea
MAP0114,P018,S006,Primary,2026-04-01,,USD,9.0714,3,26,0.0174,Sea
MAP0115,P018,S016,Backup,2025-01-01,,VND,243589.7772,3,8,0.0186,Truck
MAP0116,P018,S016,Backup,2025-10-01,,VND,254084.5737,4,4,0.018,Truck
MAP0117,P018,S016,Backup,2026-04-01,,VND,260719.3079,2,9,0.0166,Truck
MAP0118,P018,S005,Backup,2025-01-01,,USD,7.9291,2,33,0.0225,Sea
MAP0119,P018,S005,Backup,2025-10-01,,USD,7.8232,3,33,0.0162,Sea
MAP0120,P018,S005,Backup,2026-04-01,,USD,8.4703,3,37,0.0187,Sea
MAP0121,P019,S006,Primary,2025-01-01,,USD,7.7634,4,29,0.0153,Sea
MAP0122,P019,S006,Primary,2025-10-01,,USD,8.1637,5,26,0.0189,Sea
MAP0123,P019,S006,Primary,2026-04-01,,USD,8.0108,4,28,0.0154,Sea
MAP0124,P019,S005,Backup,2025-01-01,,USD,7.6153,6,35,0.0224,Sea
MAP0125,P019,S005,Backup,2025-10-01,,USD,7.9318,4,38,0.0246,Sea
MAP0126,P019,S005,Backup,2026-04-01,,USD,8.055,4,38,0.0196,Sea
MAP0127,P019,S016,Backup,2025-01-01,,VND,228882.4689,3,10,0.0176,Truck
MAP0128,P019,S016,Backup,2025-10-01,,VND,234078.6974,4,7,0.021,Truck
MAP0129,P019,S016,Backup,2026-04-01,,VND,235296.2715,6,10,0.0184,Truck
MAP0130,P020,S016,Primary,2025-01-01,,VND,263891.0259,6,9,0.0224,Truck
MAP0131,P020,S016,Primary,2025-10-01,,VND,260658.9066,7,10,0.0194,Truck
MAP0132,P020,S016,Primary,2026-04-01,,VND,270845.9024,8,10,0.0168,Truck
MAP0133,P020,S005,Backup,2025-01-01,,USD,10.4111,5,33,0.0232,Sea
MAP0134,P020,S005,Backup,2025-10-01,,USD,10.6421,5,36,0.0183,Sea
MAP0135,P020,S005,Backup,2026-04-01,,USD,10.9329,5,37,0.0201,Sea
MAP0136,P021,S006,Primary,2025-01-01,,USD,3.3353,6,27,0.0126,Sea
MAP0137,P021,S006,Primary,2025-10-01,,USD,3.5176,5,32,0.0119,Sea
MAP0138,P021,S006,Primary,2026-04-01,,USD,3.5122,4,27,0.0148,Sea
MAP0139,P021,S005,Backup,2025-01-01,,USD,3.8564,5,32,0.0218,Sea
MAP0140,P021,S005,Backup,2025-10-01,,USD,4.0304,7,32,0.025,Sea
MAP0141,P021,S005,Backup,2026-04-01,,USD,3.9482,5,35,0.0142,Sea
MAP0142,P022,S007,Primary,2025-01-01,,USD,62.1467,4,45,0.0237,Sea
MAP0143,P022,S007,Primary,2025-10-01,,USD,64.5181,4,45,0.0234,Sea
MAP0144,P022,S007,Primary,2026-04-01,,USD,63.1982,3,45,0.0303,Sea
MAP0145,P022,S008,Backup,2025-01-01,,USD,65.0908,4,22,0.012,Sea
MAP0146,P022,S008,Backup,2025-10-01,,USD,66.8881,4,25,0.0095,Sea
MAP0147,P022,S008,Backup,2026-04-01,,USD,67.525,3,21,0.0098,Sea
MAP0148,P023,S007,Primary,2025-01-01,,USD,91.8899,5,43,0.0328,Sea
MAP0149,P023,S007,Primary,2025-10-01,,USD,90.0921,5,44,0.0305,Sea
MAP0150,P023,S007,Primary,2026-04-01,,USD,97.9922,4,41,0.0201,Sea
MAP0151,P023,S008,Backup,2025-01-01,,USD,96.3082,3,21,0.0124,Sea
MAP0152,P023,S008,Backup,2025-10-01,,USD,99.6597,3,22,0.0142,Sea
MAP0153,P023,S008,Backup,2026-04-01,,USD,101.4909,3,24,0.0099,Sea
MAP0154,P023,S009,Backup,2025-01-01,,USD,99.8449,3,27,0.0101,Sea
MAP0155,P023,S009,Backup,2025-10-01,,USD,105.3234,5,26,0.0102,Sea
MAP0156,P023,S009,Backup,2026-04-01,,USD,104.073,3,24,0.013,Sea
MAP0157,P024,S007,Primary,2025-01-01,,USD,132.2985,4,45,0.0363,Sea
MAP0158,P024,S007,Primary,2025-10-01,,USD,138.9853,3,40,0.0233,Sea
MAP0159,P024,S007,Primary,2026-04-01,,USD,135.7743,3,41,0.0309,Sea
MAP0160,P024,S008,Backup,2025-01-01,,USD,145.653,2,27,0.0097,Sea
MAP0161,P024,S008,Backup,2025-10-01,,USD,152.1138,4,20,0.0146,Sea
MAP0162,P024,S008,Backup,2026-04-01,,USD,149.0837,4,23,0.0111,Sea
MAP0163,P024,S009,Backup,2025-01-01,,USD,131.8133,3,23,0.0088,Sea
MAP0164,P024,S009,Backup,2025-10-01,,USD,134.6526,4,25,0.0084,Sea
MAP0165,P024,S009,Backup,2026-04-01,,USD,141.6587,4,28,0.0072,Sea
MAP0166,P025,S007,Primary,2025-01-01,,USD,142.0034,3,42,0.0343,Sea
MAP0167,P025,S007,Primary,2025-10-01,,USD,148.8116,3,44,0.021,Sea
MAP0168,P025,S007,Primary,2026-04-01,,USD,151.4212,3,46,0.0353,Sea
MAP0169,P025,S008,Backup,2025-01-01,,USD,134.3898,3,24,0.0148,Sea
MAP0170,P025,S008,Backup,2025-10-01,,USD,133.8923,2,23,0.0122,Sea
MAP0171,P025,S008,Backup,2026-04-01,,USD,134.4744,4,26,0.0087,Sea
MAP0172,P025,S009,Backup,2025-01-01,,USD,128.2391,3,24,0.0122,Sea
MAP0173,P025,S009,Backup,2025-10-01,,USD,126.5744,4,26,0.0118,Sea
MAP0174,P025,S009,Backup,2026-04-01,,USD,133.1998,3,25,0.0095,Sea
MAP0175,P026,S007,Primary,2025-01-01,,USD,163.3171,4,42,0.0286,Sea
MAP0176,P026,S007,Primary,2025-10-01,,USD,172.3615,2,45,0.0216,Sea
MAP0177,P026,S007,Primary,2026-04-01,,USD,169.9504,3,40,0.0313,Sea
MAP0178,P026,S008,Backup,2025-01-01,,USD,153.8847,2,21,0.0111,Sea
MAP0179,P026,S008,Backup,2025-10-01,,USD,159.6228,3,20,0.0086,Sea
MAP0180,P026,S008,Backup,2026-04-01,,USD,160.6904,2,25,0.0142,Sea
MAP0181,P026,S009,Backup,2025-01-01,,USD,150.1143,3,29,0.0109,Sea
MAP0182,P026,S009,Backup,2025-10-01,,USD,153.5788,3,24,0.0083,Sea
MAP0183,P026,S009,Backup,2026-04-01,,USD,161.668,3,23,0.0112,Sea
MAP0184,P027,S007,Primary,2025-01-01,,USD,120.2876,2,46,0.0306,Sea
MAP0185,P027,S007,Primary,2025-10-01,,USD,125.4755,3,39,0.0313,Sea
MAP0186,P027,S007,Primary,2026-04-01,,USD,125.0998,3,42,0.023,Sea
MAP0187,P027,S008,Backup,2025-01-01,,USD,123.1209,2,23,0.0151,Sea
MAP0188,P027,S008,Backup,2025-10-01,,USD,122.8569,2,20,0.0127,Sea
MAP0189,P027,S008,Backup,2026-04-01,,USD,131.8507,2,22,0.0137,Sea
MAP0190,P028,S011,Primary,2025-01-01,,EUR,139.6528,3,36,0.0077,Air
MAP0191,P028,S011,Primary,2025-10-01,,EUR,142.8458,4,34,0.0059,Air
MAP0192,P028,S011,Primary,2026-04-01,,EUR,150.6776,4,40,0.0083,Air
MAP0193,P028,S017,Backup,2025-01-01,,USD,156.9402,4,15,0.0098,Air
MAP0194,P028,S017,Backup,2025-10-01,,USD,165.9525,3,18,0.0098,Air
MAP0195,P028,S017,Backup,2026-04-01,,USD,157.4344,3,21,0.0086,Air
MAP0196,P029,S017,Primary,2025-01-01,,USD,514.2245,4,18,0.0097,Air
MAP0197,P029,S017,Primary,2025-10-01,,USD,531.1846,6,21,0.0078,Air
MAP0198,P029,S017,Primary,2026-04-01,,USD,545.7028,6,19,0.0072,Air
MAP0199,P029,S018,Backup,2025-01-01,,USD,506.6531,3,23,0.0111,Air
MAP0200,P029,S018,Backup,2025-10-01,,USD,506.4488,5,24,0.0097,Air
MAP0201,P029,S018,Backup,2026-04-01,,USD,525.6308,5,21,0.0077,Air
MAP0202,P030,S011,Primary,2025-01-01,,EUR,307.4586,3,36,0.007,Air
MAP0203,P030,S011,Primary,2025-10-01,,EUR,323.2875,4,37,0.0057,Air
MAP0204,P030,S011,Primary,2026-04-01,,EUR,310.9068,4,40,0.0057,Air
MAP0205,P030,S010,Backup,2025-01-01,,JPY,45614.7875,4,33,0.0068,Air
MAP0206,P030,S010,Backup,2025-10-01,,JPY,44971.9814,5,33,0.0053,Air
MAP0207,P030,S010,Backup,2026-04-01,,JPY,45947.6791,3,32,0.0062,Air
MAP0208,P030,S017,Backup,2025-01-01,,USD,316.9997,3,19,0.0081,Air
MAP0209,P030,S017,Backup,2025-10-01,,USD,315.3919,3,15,0.0093,Air
MAP0210,P030,S017,Backup,2026-04-01,,USD,331.1161,3,18,0.0079,Air
MAP0211,P031,S012,Primary,2025-01-01,,USD,623.2185,2,30,0.0111,Air
MAP0212,P031,S012,Primary,2025-10-01,,USD,611.1409,2,30,0.0132,Air
MAP0213,P031,S012,Primary,2026-04-01,,USD,669.8104,2,28,0.0131,Air
MAP0214,P031,S017,Backup,2025-01-01,,USD,563.7672,3,19,0.0064,Air
MAP0215,P031,S017,Backup,2025-10-01,,USD,573.0319,3,15,0.0065,Air
MAP0216,P031,S017,Backup,2026-04-01,,USD,573.67,2,22,0.0076,Air
MAP0217,P032,S011,Primary,2025-01-01,,EUR,557.6813,1,39,0.0084,Air
MAP0218,P032,S011,Primary,2025-10-01,,EUR,566.5106,2,39,0.0084,Air
MAP0219,P032,S011,Primary,2026-04-01,,EUR,596.2181,2,33,0.0051,Air
MAP0220,P032,S017,Backup,2025-01-01,,USD,600.5321,1,22,0.0063,Air
MAP0221,P032,S017,Backup,2025-10-01,,USD,619.8128,2,22,0.0065,Air
MAP0222,P032,S017,Backup,2026-04-01,,USD,609.2808,1,20,0.0089,Air
