sales_order_line_id,sales_order_id,product_id,quantity_ordered,unit_price_vnd,unit_cost_vnd,discount_pct,promised_delivery_date,line_status,quantity_shipped_to_date
SOL0000052,SO000028,P006,22,565800.0,446500.0,0.0724,2025-10-13,Delivered,22
SOL0000053,SO000029,P003,13,426500.0,317400.0,0.0977,2025-10-29,Delivered,13
SOL0000054,SO000030,P019,29,285200.0,205600.0,0.0228,2025-12-27,Delivered,29
SOL0000055,SO000030,P017,122,217000.0,145400.0,0.0544,2025-12-27,Delivered,122
SOL0000056,SO000031,P005,18,566600.0,469400.0,0.128,2026-01-07,Delivered,18
SOL0000057,SO000032,P004,35,673800.0,472300.0,0.0682,2026-01-21,Delivered,35
SOL0000058,SO000032,P001,16,621800.0,461300.0,0.0,2026-01-21,Delivered,16
SOL0000059,SO000032,P003,20,416900.0,309100.0,0.0316,2026-01-21,Delivered,20
SOL0000060,SO000032,P002,23,420800.0,308400.0,0.0735,2026-01-21,Delivered,23
SOL0000061,SO000033,P002,13,453000.0,330300.0,0.0508,2026-03-13,Delivered,13
SOL0000062,SO000033,P005,24,623700.0,455800.0,0.0934,2026-03-13,Delivered,24
SOL0000063,SO000034,P023,14,3562100.0,2560400.0,0.0,2026-04-12,Delivered,14
SOL0000064,SO000034,P026,21,5063700.0,3895000.0,0.0267,2026-04-12,Delivered,21
SOL0000065,SO000034,P024,12,4926400.0,3504000.0,0.0007,2026-04-12,Delivered,12
SOL0000066,SO000034,P022,16,2411400.0,1663000.0,0.0843,2026-04-12,Delivered,16
SOL0000067,SO000035,P012,43,371400.0,251900.0,0.074,2026-05-08,Delivered,43
SOL0000068,SO000036,P003,104,435300.0,309600.0,0.1078,2026-05-11,Delivered,104
SOL0000069,SO000036,P004,8,658700.0,467600.0,0.0335,2026-05-11,Delivered,8
SOL0000070,SO000037,P001,6,557200.0,456400.0,0.0223,2026-05-31,Delivered,6
SOL0000071,SO000038,P020,24,362000.0,269100.0,0.0079,2026-05-28,Delivered,24
SOL0000072,SO000039,P006,59,609800.0,451900.0,0.0,2026-06-06,Delivered,59
SOL0000073,SO000039,P003,28,449400.0,307500.0,0.0169,2026-06-06,Delivered,28
SOL0000074,SO000039,P001,9,583900.0,483100.0,0.0342,2026-06-06,Delivered,9
SOL0000075,SO000040,P001,26,552300.0,476600.0,0.091,2026-06-29,Delivered,26
SOL0000076,SO000040,P004,24,667200.0,483600.0,0.1374,2026-06-29,Delivered,24
SOL0000077,SO000041,P001,14,616400.0,457600.0,0.0364,2026-08-13,Delivered,14
SOL0000078,SO000041,P006,13,561000.0,429500.0,0.0675,2026-08-13,Delivered,13
SOL0000079,SO000041,P004,16,684800.0,455900.0,0.0748,2026-08-13,Delivered,16
SOL0000080,SO000042,P003,67,417400.0,313500.0,0.0695,2026-08-10,Delivered,67
SOL0000081,SO000043,P001,11,592300.0,466300.0,0.0961,2026-08-01,Delivered,11
SOL0000082,SO000044,P002,21,399200.0,321100.0,0.0056,2026-10-02,Open,0
SOL0000083,SO000045,P001,21,621300.0,454600.0,0.0502,2025-06-11,Delivered,21
SOL0000084,SO000046,P006,13,570900.0,445000.0,0.0306,2025-06-08,Delivered,13
SOL0000085,SO000046,P005,9,583400.0,462000.0,0.0369,2025-06-08,Delivered,9
SOL0000086,SO000046,P004,105,706100.0,472600.0,0.0712,2025-06-08,Delivered,105
SOL0000087,SO000047,P018,59,325000.0,223000.0,0.0129,2025-07-21,Delivered,59
SOL0000088,SO000047,P021,66,136200.0,95300.0,0.0057,2025-07-21,Delivered,66
SOL0000089,SO000048,P014,19,396800.0,302300.0,0.0844,2025-07-29,Delivered,19
SOL0000090,SO000049,P009,23,241300.0,186800.0,0.0675,2025-08-13,Delivered,23
SOL0000091,SO000049,P010,82,366500.0,263100.0,0.0995,2025-08-13,Delivered,82
SOL0000092,SO000050,P015,11,130500.0,93700.0,0.1262,2025-10-08,Delivered,11
SOL0000093,SO000050,P014,41,396200.0,292000.0,0.1198,2025-10-08,Delivered,41
SOL0000094,SO000050,P016,37,496800.0,406300.0,0.1103,2025-10-08,Delivered,37
SOL0000095,SO000050,P013,86,369500.0,260100.0,0.0556,2025-10-08,Delivered,86
SOL0000096,SO000051,P001,27,596700.0,481700.0,0.0824,2025-11-07,Delivered,27
SOL0000097,SO000051,P006,9,554600.0,428900.0,0.0592,2025-11-07,Delivered,9
SOL0000098,SO000052,P001,52,577000.0,452300.0,0.0844,2025-11-27,Delivered,52
SOL0000099,SO000052,P003,28,431300.0,304300.0,0.0388,2025-11-27,Delivered,28
SOL0000100,SO000053,P002,14,423500.0,308900.0,0.0457,2026-01-20,Delivered,14
SOL0000101,SO000053,P006,20,551800.0,425400.0,0.0572,2026-01-20,Delivered,20
SOL0000102,SO000054,P023,6,3888200.0,2611400.0,0.0785,2026-01-30,Delivered,6
SOL0000103,SO000054,P027,11,3660600.0,2931900.0,0.0392,2026-01-30,Delivered,11
SOL0000104,SO000055,P003,10,395400.0,305300.0,0.0312,2026-07-07,Delivered,10
SOL0000105,SO000056,P005,29,575100.0,468400.0,0.0991,2026-07-12,Delivered,29
SOL0000106,SO000056,P004,19,695900.0,454200.0,0.0768,2026-07-12,Delivered,19
SOL0000107,SO000057,P001,40,560400.0,473300.0,0.0239,2026-07-24,Delivered,40
SOL0000108,SO000057,P006,9,544200.0,452600.0,0.1167,2026-07-24,Delivered,9
SOL0000109,SO000058,P011,18,288600.0,204000.0,0.1094,2025-02-26,Delivered,18
SOL0000110,SO000059,P005,5,635200.0,460800.0,0.0657,2025-04-03,Delivered,5
SOL0000111,SO000059,P003,22,405600.0,303600.0,0.0749,2025-04-03,Delivered,22
SOL0000112,SO000059,P004,4,729200.0,480600.0,0.0581,2025-04-03,Delivered,4
SOL0000113,SO000060,P002,61,403800.0,329100.0,0.0286,2025-03-15,Delivered,61
SOL0000114,SO000061,P026,29,5112700.0,3894700.0,0.0703,2025-08-07,Delivered,29
SOL0000115,SO000062,P011,64,291600.0,209400.0,0.1238,2025-08-22,Delivered,64
SOL0000116,SO000062,P008,152,413900.0,270100.0,0.1042,2025-08-22,Delivered,152
SOL0000117,SO000063,P010,107,406500.0,249400.0,0.0805,2025-09-16,Delivered,107
SOL0000118,SO000064,P025,3,5595800.0,3768300.0,0.1099,2025-10-20,Delivered,3
SOL0000119,SO000064,P027,32,4002000.0,2978500.0,0.0,2025-10-20,Delivered,32
SOL0000120,SO000064,P022,10,2412000.0,1661600.0,0.0772,2025-10-20,Delivered,10
SOL0000121,SO000064,P023,13,4035600.0,2571900.0,0.0372,2025-10-20,Delivered,13
SOL0000122,SO000065,P024,17,4932600.0,3503700.0,0.0913,2025-10-30,Delivered,17
SOL0000123,SO000066,P032,4,18584700.0,14568600.0,0.0835,2025-10-11,Delivered,4
SOL0000124,SO000067,P026,25,4991500.0,3848600.0,0.1007,2026-04-02,Delivered,25
SOL0000125,SO000068,P002,29,420700.0,332400.0,0.0682,2026-04-10,Delivered,29
SOL0000126,SO000068,P006,22,542500.0,434100.0,0.0496,2026-04-10,Delivered,22
SOL0000127,SO000069,P001,61,625400.0,473600.0,0.0551,2026-05-13,Delivered,61
SOL0000128,SO000070,P005,4,632100.0,474300.0,0.078,2026-07-07,Delivered,4
SOL0000129,SO000071,P001,16,615300.0,485900.0,0.0887,2026-08-04,Delivered,16
SOL0000130,SO000071,P003,39,407700.0,325900.0,0.0498,2026-08-04,Delivered,39
SOL0000131,SO000071,P002,42,397100.0,314300.0,0.0013,2026-08-04,Delivered,42
SOL0000132,SO000072,P001,12,566100.0,456300.0,0.0,2026-08-11,Delivered,12
SOL0000133,SO000072,P003,15,425300.0,312500.0,0.0145,2026-08-11,Delivered,15
SOL0000134,SO000072,P006,8,565400.0,447200.0,0.0698,2026-08-11,Delivered,8
SOL0000135,SO000073,P027,11,3651700.0,3022300.0,0.0559,2026-10-01,Open,0
SOL0000136,SO000073,P024,25,4494800.0,3511800.0,0.0,2026-10-01,Open,0
SOL0000137,SO000074,P018,55,306400.0,227200.0,0.0551,2025-06-13,Delivered,55
SOL0000138,SO000075,P004,8,707300.0,456000.0,0.0985,2025-06-23,Delivered,8
SOL0000139,SO000075,P005,7,601700.0,456100.0,0.0969,2025-06-23,Delivered,7
SOL0000140,SO000076,P023,10,3594000.0,2626100.0,0.0518,2025-06-27,Delivered,10
SOL0000141,SO000077,P021,180,145000.0,98500.0,0.0957,2025-07-04,Delivered,180
SOL0000142,SO000077,P017,43,238200.0,147500.0,0.024,2025-07-04,Delivered,43
SOL0000143,SO000077,P018,55,296900.0,219800.0,0.0543,2025-07-04,Delivered,55
SOL0000144,SO000078,P001,10,549300.0,487000.0,0.0771,2025-11-26,Delivered,10
SOL0000145,SO000079,P005,17,630000.0,444700.0,0.0626,2025-11-17,Delivered,17
SOL0000146,SO000079,P001,12,554300.0,455100.0,0.0545,2025-11-17,Delivered,12
SOL0000147,SO000079,P006,6,584100.0,443600.0,0.0586,2025-11-17,Delivered,6
SOL0000148,SO000080,P024,18,4901800.0,3557200.0,0.0663,2025-12-22,Delivered,18
SOL0000149,SO000081,P001,10,614500.0,480800.0,0.0489,2025-12-27,Delivered,10
SOL0000150,SO000082,P005,8,634700.0,464700.0,0.0395,2026-03-09,Delivered,8
SOL0000151,SO000082,P003,38,439100.0,325000.0,0.0348,2026-03-09,Delivered,38
SOL0000152,SO000083,P002,28,408700.0,325000.0,0.052,2025-04-22,Delivered,28
SOL0000153,SO000084,P022,9,2319900.0,1670300.0,0.0781,2025-04-11,Delivered,9
SOL0000154,SO000085,P009,33,249400.0,178000.0,0.1355,2025-08-03,Delivered,33
SOL0000155,SO000085,P011,16,312600.0,204000.0,0.0866,2025-08-03,Delivered,16
SOL0000156,SO000086,P003,32,444500.0,322000.0,0.1004,2025-09-26,Delivered,32
SOL0000157,SO000086,P002,10,444100.0,327300.0,0.1366,2025-09-26,Delivered,10
SOL0000158,SO000086,P004,15,692600.0,459800.0,0.0557,2025-09-26,Delivered,15
SOL0000159,SO000087,P006,25,605700.0,453400.0,0.0854,2025-11-09,Delivered,25
SOL0000160,SO000087,P005,14,618700.0,460000.0,0.1087,2025-11-09,Delivered,14
SOL0000161,SO000088,P009,45,242200.0,190100.0,0.0239,2025-10-26,Delivered,45
SOL0000162,SO000089,P009,102,261400.0,187400.0,0.029,2025-11-21,Delivered,102
SOL0000163,SO000089,P011,16,310600.0,209600.0,0.0106,2025-11-21,Delivered,16
SOL0000164,SO000090,P004,21,750300.0,458600.0,0.058,2025-12-27,Delivered,21
SOL0000165,SO000091,P018,114,312600.0,223800.0,0.0613,2026-01-05,Delivered,114
SOL0000166,SO000092,P021,30,132300.0,95200.0,0.1082,2026-01-01,Delivered,30
SOL0000167,SO000092,P020,109,383700.0,263100.0,0.0693,2026-01-01,Delivered,109
SOL0000168,SO000093,P002,12,443700.0,311100.0,0.1252,2026-02-04,Delivered,12
SOL0000169,SO000094,P010,25,418300.0,254500.0,0.0571,2026-03-10,Delivered,25
SOL0000170,SO000095,P001,30,625000.0,482800.0,0.0403,2026-05-29,Delivered,30
SOL0000171,SO000096,P007,163,179900.0,129300.0,0.0397,2026-06-02,Delivered,163
SOL0000172,SO000097,P002,17,394800.0,316600.0,0.0452,2026-07-29,Delivered,17
SOL0000173,SO000097,P003,15,434400.0,313100.0,0.0332,2026-07-29,Delivered,15
SOL0000174,SO000098,P024,5,4457900.0,3470900.0,0.0432,2026-08-16,Delivered,5
SOL0000175,SO000098,P026,12,4884300.0,3903200.0,0.0974,2026-08-16,Delivered,12
SOL0000176,SO000099,P001,9,573100.0,485200.0,0.0336,2026-09-02,Open,0
SOL0000177,SO000099,P006,29,571400.0,441200.0,0.0779,2026-09-02,Delivered,29
SOL0000178,SO000100,P004,8,741500.0,482800.0,0.0106,2025-04-12,Delivered,8
SOL0000179,SO000101,P001,24,632300.0,473000.0,0.0561,2025-03-24,Delivered,24
SOL0000180,SO000102,P001,22,549200.0,472500.0,0.0285,2025-11-14,Delivered,22
SOL0000181,SO000103,P001,63,566200.0,460400.0,0.0429,2026-01-31,Delivered,63
SOL0000182,SO000103,P006,15,544800.0,442100.0,0.0833,2026-01-31,Delivered,15
SOL0000183,SO000104,P011,55,305100.0,204200.0,0.065,2026-05-25,Delivered,55
SOL0000184,SO000105,P001,30,615300.0,465100.0,0.0902,2026-09-03,Open,0
SOL0000185,SO000106,P001,48,600900.0,463300.0,0.1274,2025-08-22,Delivered,48
SOL0000186,SO000107,P019,16,300100.0,205800.0,0.049,2025-06-05,Delivered,16
SOL0000187,SO000108,P025,36,5531100.0,3685500.0,0.0248,2025-08-16,Delivered,36
SOL0000188,SO000108,P022,15,2391800.0,1671000.0,0.128,2025-08-16,Delivered,15
SOL0000189,SO000109,P003,9,437100.0,316800.0,0.0557,2026-03-08,Delivered,9
SOL0000190,SO000110,P001,53,582700.0,464000.0,0.0832,2025-06-24,Delivered,53
SOL0000191,SO000110,P005,14,571000.0,472600.0,0.1064,2025-06-24,Delivered,14
SOL0000192,SO000110,P004,15,662700.0,469400.0,0.0,2025-06-24,Delivered,15
SOL0000193,SO000110,P002,61,404900.0,311000.0,0.1162,2025-06-24,Delivered,61
SOL0000194,SO000111,P009,33,225800.0,178400.0,0.1344,2025-08-21,Delivered,33
SOL0000195,SO000111,P008,18,400300.0,255800.0,0.057,2025-08-21,Delivered,18
SOL0000196,SO000112,P005,7,577400.0,468800.0,0.0518,2025-09-12,Delivered,7
SOL0000197,SO000113,P005,20,642500.0,464500.0,0.0364,2025-10-22,Delivered,20
SOL0000198,SO000113,P002,27,436400.0,323100.0,0.0709,2025-10-22,Delivered,27
SOL0000199,SO000113,P003,16,405200.0,313200.0,0.1023,2025-10-22,Delivered,16
SOL0000200,SO000114,P001,5,568900.0,450600.0,0.0609,2025-10-23,Delivered,5
SOL0000201,SO000115,P001,6,560400.0,470100.0,0.0,2025-12-13,Delivered,6
SOL0000202,SO000115,P004,170,721800.0,462900.0,0.0278,2025-12-13,Delivered,170
SOL0000203,SO000116,P003,48,400000.0,315400.0,0.0764,2025-06-14,Delivered,48
SOL0000204,SO000116,P004,10,667300.0,449000.0,0.0526,2025-06-14,Delivered,10
SOL0000205,SO000117,P027,10,4052200.0,2957500.0,0.0905,2025-08-13,Delivered,10
SOL0000206,SO000117,P023,13,3851300.0,2596700.0,0.0842,2025-08-13,Delivered,13
SOL0000207,SO000118,P001,33,590000.0,476700.0,0.0,2025-10-12,Delivered,33
SOL0000208,SO000119,P015,25,133300.0,90400.0,0.1089,2025-12-11,Delivered,25
SOL0000209,SO000119,P016,41,477000.0,422200.0,0.0987,2025-12-11,Delivered,41
SOL0000210,SO000120,P001,39,600100.0,472700.0,0.042,2026-03-12,Delivered,39
SOL0000211,SO000120,P003,12,446200.0,310400.0,0.1084,2026-03-12,Delivered,12
SOL0000212,SO000121,P003,7,448500.0,304500.0,0.0984,2026-04-18,Delivered,7
SOL0000213,SO000122,P011,105,292800.0,215000.0,0.077,2025-04-30,Delivered,105
SOL0000214,SO000123,P001,17,586100.0,465000.0,0.0511,2025-06-21,Delivered,17
SOL0000215,SO000123,P003,16,401000.0,324900.0,0.0683,2025-06-21,Delivered,16
SOL0000216,SO000124,P001,9,611900.0,459900.0,0.018,2025-08-05,Delivered,9
SOL0000217,SO000125,P012,47,405200.0,256000.0,0.0563,2026-01-05,Delivered,47
SOL0000218,SO000126,P018,43,322700.0,228800.0,0.0247,2026-02-13,Delivered,43
SOL0000219,SO000126,P017,69,228200.0,143800.0,0.0496,2026-02-13,Delivered,69
SOL0000220,SO000127,P002,12,416800.0,325900.0,0.1522,2026-03-23,Delivered,12
SOL0000221,SO000128,P002,16,415600.0,317600.0,0.0718,2026-07-04,Delivered,16
SOL0000222,SO000128,P006,9,599200.0,442300.0,0.1381,2026-07-04,Delivered,9
SOL0000223,SO000128,P003,8,409700.0,309800.0,0.1278,2026-07-04,Delivered,8
SOL0000224,SO000129,P001,29,565000.0,485600.0,0.0693,2025-10-08,Delivered,29
SOL0000225,SO000130,P009,20,237000.0,181600.0,0.0,2026-01-08,Delivered,20
SOL0000226,SO000130,P010,96,396900.0,267800.0,0.0791,2026-01-08,Delivered,96
SOL0000227,SO000130,P008,151,396400.0,255700.0,0.0517,2026-01-08,Delivered,151
SOL0000228,SO000130,P011,15,302800.0,206900.0,0.0,2026-01-08,Delivered,15
SOL0000229,SO000131,P001,35,616500.0,471100.0,0.0897,2026-01-17,Delivered,35
SOL0000230,SO000131,P003,11,432000.0,314600.0,0.0,2026-01-17,Delivered,11
SOL0000231,SO000131,P006,77,589400.0,426500.0,0.0865,2026-01-17,Delivered,77
SOL0000232,SO000132,P002,12,396000.0,313700.0,0.0594,2026-08-20,Delivered,12
SOL0000233,SO000132,P003,8,436100.0,316300.0,0.1084,2026-08-20,Delivered,8
SOL0000234,SO000132,P005,27,614300.0,473000.0,0.0801,2026-08-20,Delivered,27
SOL0000235,SO000133,P004,42,734800.0,473700.0,0.1044,2025-04-16,Delivered,42
SOL0000236,SO000133,P006,6,610800.0,424500.0,0.0674,2025-04-16,Delivered,6
SOL0000237,SO000134,P001,17,587300.0,450800.0,0.0818,2025-07-21,Delivered,17
SOL0000238,SO000135,P001,11,557000.0,452900.0,0.0523,2025-10-08,Delivered,11
SOL0000239,SO000135,P002,5,402600.0,314300.0,0.0617,2025-10-08,Delivered,5
SOL0000240,SO000136,P001,23,547500.0,451600.0,0.0855,2025-12-02,Delivered,23
SOL0000241,SO000136,P006,23,542800.0,440700.0,0.1112,2025-12-02,Delivered,23
SOL0000242,SO000136,P005,39,621800.0,467300.0,0.0775,2025-12-02,Delivered,39
SOL0000243,SO000136,P002,25,414300.0,331000.0,0.0666,2025-12-02,Delivered,25
SOL0000244,SO000137,P007,56,182100.0,124600.0,0.0052,2026-01-03,Delivered,56
SOL0000245,SO000138,P002,18,404200.0,322500.0,0.0,2026-02-23,Delivered,18
SOL0000246,SO000138,P003,56,422600.0,311500.0,0.0357,2026-02-23,Delivered,56
SOL0000247,SO000139,P006,46,570700.0,427700.0,0.0631,2026-02-28,Delivered,46
SOL0000248,SO000139,P005,45,634500.0,442600.0,0.117,2026-02-28,Delivered,45
SOL0000249,SO000139,P002,49,437000.0,309500.0,0.0326,2026-02-28,Delivered,49
SOL0000250,SO000140,P002,34,407800.0,329600.0,0.0887,2026-04-28,Delivered,34
SOL0000251,SO000140,P004,17,648500.0,482100.0,0.0843,2026-04-28,Delivered,17
SOL0000252,SO000140,P001,7,562200.0,487500.0,0.0665,2026-04-28,Delivered,7
SOL0000253,SO000141,P013,61,371600.0,255800.0,0.062,2025-06-19,Delivered,61
SOL0000254,SO000141,P016,36,517400.0,400400.0,0.1419,2025-06-19,Delivered,36
SOL0000255,SO000141,P015,12,134200.0,94500.0,0.0668,2025-06-19,Delivered,12
SOL0000256,SO000141,P014,31,397100.0,299700.0,0.0598,2025-06-19,Delivered,31
SOL0000257,SO000142,P012,74,369900.0,263400.0,0.0468,2025-11-05,Delivered,74
SOL0000258,SO000142,P014,59,397400.0,299100.0,0.0426,2025-11-05,Delivered,59
SOL0000259,SO000142,P015,15,138800.0,93000.0,0.0989,2025-11-05,Delivered,15
SOL0000260,SO000143,P023,18,3639800.0,2560100.0,0.013,2026-09-15,Open,0
SOL0000261,SO000143,P025,21,5193700.0,3774500.0,0.0287,2026-09-15,Open,0
SOL0000262,SO000143,P027,19,3892900.0,2914100.0,0.1375,2026-09-15,Open,0
SOL0000263,SO000144,P001,17,580200.0,463200.0,0.0632,2026-08-24,Delivered,17
SOL0000264,SO000144,P003,22,389200.0,326000.0,0.1117,2026-08-24,Delivered,22
SOL0000265,SO000145,P001,12,542900.0,481600.0,0.0771,2026-08-08,Delivered,12
SOL0000266,SO000146,P002,20,440900.0,334700.0,0.0,2026-08-28,Delivered,20
SOL0000267,SO000147,P018,49,331800.0,232100.0,0.0129,2026-09-01,Partially Delivered,30
SOL0000268,SO000147,P021,56,135800.0,97600.0,0.0057,2026-09-01,Partially Delivered,26
SOL0000269,SO000148,P007,47,169800.0,130200.0,0.0894,2026-09-09,Open,0
SOL0000270,SO000149,P026,21,5171200.0,4026900.0,0.1007,2026-09-02,Open,0
SOL0000271,SO000150,P001,22,578300.0,491300.0,0.0511,2026-05-31,Delivered,22
SOL0000272,SO000150,P003,19,403700.0,324700.0,0.0683,2026-05-31,Delivered,19
SOL0000273,SO000151,P003,23,400100.0,326200.0,0.0683,2026-03-22,Delivered,23
SOL0000274,SO000151,P001,20,577500.0,468400.0,0.0511,2026-03-22,Delivered,20
SOL0000275,SO000152,P022,13,2402000.0,1778000.0,0.0781,2026-08-14,Partially Delivered,11
SOL0000276,SO000153,P001,20,575200.0,472600.0,0.0285,2026-02-05,Delivered,20
SOL0000277,SO000154,P001,15,577500.0,454700.0,0.0523,2025-11-10,Open,0
SOL0000278,SO000154,P002,6,395200.0,327800.0,0.0617,2025-11-10,Open,0
SOL0000279,SO000155,P002,4,413100.0,329500.0,0.0617,2025-12-10,Delivered,4
SOL0000280,SO000155,P001,11,549800.0,479000.0,0.0523,2025-12-10,Delivered,11
SOL0000281,SO000156,P002,6,407000.0,334400.0,0.0617,2026-03-19,Delivered,6
SOL0000282,SO000157,P002,20,420500.0,317100.0,0.0666,2026-05-08,Delivered,20
SOL0000283,SO000157,P006,23,548800.0,456100.0,0.1112,2026-05-08,Delivered,23
SOL0000284,SO000158,P006,13,547200.0,459400.0,0.1167,2026-09-19,Open,0
SOL0000285,SO000159,P005,7,595400.0,462900.0,0.0518,2025-09-24,Delivered,7
SOL0000286,SO000160,P005,8,589100.0,448500.0,0.0518,2025-11-24,Delivered,8
SOL0000287,SO000161,P002,8,447100.0,317100.0,0.0322,2026-03-26,Delivered,8
SOL0000288,SO000162,P009,41,246300.0,192400.0,0.0239,2025-12-16,Delivered,41
SOL0000289,SO000163,P002,11,429200.0,330300.0,0.1522,2026-04-25,Delivered,11
SOL0000290,SO000164,P001,26,610900.0,473900.0,0.0,2026-04-05,Delivered,26
SOL0000291,SO000165,P001,43,586900.0,456800.0,0.0,2025-12-20,Delivered,43
SOL0000292,SO000166,P001,41,578300.0,455700.0,0.0693,2025-12-16,Open,0
SOL0000293,SO000167,P001,16,582700.0,472300.0,0.0124,2026-02-26,Delivered,16
SOL0000294,SO000168,P023,7,3896900.0,2598500.0,0.0785,2026-08-06,Delivered,7
SOL0000295,SO000169,P022,5,2469700.0,1801800.0,0.0328,2026-01-29,Delivered,5
SOL0000296,SO000170,P002,14,458100.0,309400.0,0.1252,2026-04-25,Delivered,14
SOL0000297,SO000171,P002,9,464100.0,332200.0,0.1252,2026-05-06,Delivered,9
SOL0000298,SO000172,P001,5,575300.0,465100.0,0.0223,2026-08-27,Delivered,5
SOL0000299,SO000173,P006,99,601800.0,453400.0,0.0865,2026-06-22,Delivered,99
SOL0000300,SO000173,P003,13,440700.0,319000.0,0.0,2026-06-22,Delivered,13
