sales_order_id,quotation_id,lead_id,customer_id,order_date_raw,requested_delivery_date,salesperson_id,payment_term,order_status,order_type,currency,fx_rate_to_vnd
SO000020,Q000054,L000116,C0024,2026-06-16,2026-07-16,E103,COD,Delivered,New,VND,1.0
SO000021,Q000068,L000129,C0003,2025-05-27,2025-06-26,E103,Net 30,Delivered,New,VND,1.0
SO000022,Q000072,L000131,C0026,2025-05-27,2025-06-10,E101,Net 30,Delivered,New,VND,1.0
SO000023,Q000074,L000133,C0115,2025-06-12,2025-07-03,E101,Net 45,Delivered,New,VND,1.0
SO000024,Q000078,L000136,C0002,2025-06-24,2025-08-08,E101,Net 60,Delivered,New,VND,1.0
SO000025,Q000080,L000138,C0145,2025-06-29,2025-08-13,E101,Net 60,Delivered,New,VND,1.0
SO000026,Q000085,L000152,C0019,2025-08-29,2025-09-12,E102,Net 45,Delivered,New,USD,25239.9171
SO000027,Q000090,L000157,C0039,2025-09-23,2025-10-14,E102,Net 45,Delivered,New,VND,1.0
SO000028,Q000091,L000158,C0050,2025-09-22,2025-10-13,E103,Net 30,Delivered,New,USD,25073.5704
SO000029,Q000093,L000160,C0014,2025-10-15,2025-10-29,E102,Net 30,Delivered,New,USD,24994.9598
SO000030,Q000096,L000169,C0172,2025-11-27,2025-12-27,E101,Net 30,Delivered,New,VND,1.0
SO000031,Q000098,L000170,C0026,2025-12-17,2026-01-07,E102,Net 30,Delivered,New,VND,1.0
SO000032,Q000099,L000174,C0141,2026-01-07,2026-01-21,E103,Net 60,Delivered,New,USD,25103.5378
SO000033,Q000106,L000183,C0007,2026-02-20,2026-03-13,E101,Net 30,Delivered,New,VND,1.0
SO000034,Q000110,L000191,C0040,2026-03-22,2026-04-12,E102,Net 30,Delivered,New,VND,1.0
SO000035,Q000112,L000200,C0007,2026-04-17,2026-05-08,E103,Net 30,Delivered,New,VND,1.0
SO000036,Q000114,L000201,C0053,2026-04-27,2026-05-11,E101,Net 45,Delivered,New,USD,25462.8258
SO000037,Q000116,L000203,C0123,2026-05-10,2026-05-31,E103,Net 60,Delivered,New,VND,1.0
SO000038,Q000118,L000205,C0003,2026-05-14,2026-05-28,E101,Net 30,Delivered,New,USD,25507.5691
SO000039,Q000121,L000213,C0018,2026-05-27,2026-06-06,E101,Net 30,Delivered,New,USD,25570.7925
SO000040,Q000123,L000215,C0002,2026-05-30,2026-06-29,E103,Net 60,Delivered,New,VND,1.0
SO000041,Q000126,L000223,C0020,2026-06-29,2026-08-13,E101,Net 30,Delivered,New,VND,1.0
SO000042,Q000129,L000226,C0081,2026-07-20,2026-08-10,E101,Net 60,Delivered,New,VND,1.0
SO000043,Q000131,L000229,C0116,2026-07-18,2026-08-01,E103,Net 30,Delivered,New,VND,1.0
SO000044,Q000135,L000239,C0017,2026-08-18,2026-10-02,E102,COD,Open,New,VND,1.0
SO000045,Q000138,L000247,C0007,2025-05-12,2025-06-11,E102,Net 30,Delivered,New,USD,25547.7009
SO000046,Q000139,L000248,C0115,2025-05-25,2025-06-08,E103,Net 45,Delivered,New,VND,1.0
SO000047,Q000140,L000254,C0009,2025-06-30,2025-07-21,E103,Net 30,Delivered,New,VND,1.0
SO000048,Q000141,L000257,C0002,2025-07-15,2025-07-29,E101,Net 60,Delivered,New,VND,1.0
SO000049,Q000143,L000260,C0060,2025-07-30,2025-08-13,E102,Net 45,Delivered,New,VND,1.0
SO000050,Q000151,L000273,C0005,2025-09-08,2025-10-08,E102,Net 45,Delivered,New,VND,1.0
SO000051,Q000152,L000281,C0003,2025-10-17,2025-11-07,E103,Net 30,Delivered,New,USD,24996.5097
SO000052,Q000156,L000286,C0036,2025-11-17,2025-11-27,E101,Net 45,Delivered,New,USD,25125.3085
SO000053,Q000157,L000293,C0074,2025-12-21,2026-01-20,E101,COD,Delivered,New,VND,1.0
SO000054,Q000161,L000300,C0095,2026-01-23,2026-01-30,E102,Net 30,Delivered,New,VND,1.0
SO000055,Q000181,L000336,C0014,2026-06-27,2026-07-07,E101,Net 30,Delivered,New,USD,25471.0503
SO000056,Q000182,L000337,C0013,2026-06-21,2026-07-12,E102,Net 60,Delivered,New,VND,1.0
SO000057,Q000183,L000338,C0035,2026-06-24,2026-07-24,E102,Net 45,Delivered,New,VND,1.0
SO000058,Q000185,L000346,C0009,2025-02-12,2025-02-26,E101,Net 30,Delivered,New,VND,1.0
SO000059,Q000187,L000349,C0002,2025-03-13,2025-04-03,E103,Net 60,Delivered,New,VND,1.0
SO000060,Q000189,L000352,C0002,2025-03-01,2025-03-15,E103,Net 60,Delivered,New,VND,1.0
SO000061,Q000192,L000359,C0008,2025-07-08,2025-08-07,E103,Net 30,Delivered,New,VND,1.0
SO000062,Q000193,L000360,C0002,2025-08-01,2025-08-22,E102,Net 60,Delivered,New,USD,25306.4403
SO000063,Q000195,L000363,C0001,2025-09-02,2025-09-16,E101,Net 30,Delivered,New,VND,1.0
SO000064,Q000197,L000365,C0001,2025-09-05,2025-10-20,E101,Net 30,Delivered,New,VND,1.0
SO000065,Q000198,L000366,C0001,2025-09-15,2025-10-30,E103,Net 30,Delivered,New,VND,1.0
SO000066,Q000200,L000369,C0108,2025-09-27,2025-10-11,E103,COD,Delivered,New,VND,1.0
SO000067,Q000205,L000379,C0054,2026-03-19,2026-04-02,E103,Net 30,Delivered,New,VND,1.0
SO000068,Q000208,L000384,C0007,2026-03-27,2026-04-10,E101,Net 30,Delivered,New,VND,1.0
SO000069,Q000210,L000386,C0013,2026-04-13,2026-05-13,E102,Net 60,Delivered,New,VND,1.0
SO000070,Q000213,L000399,C0057,2026-06-16,2026-07-07,E102,Net 30,Delivered,New,VND,1.0
SO000071,Q000214,L000401,C0031,2026-07-05,2026-08-04,E101,Net 45,Delivered,New,VND,1.0
SO000072,Q000217,L000403,C0038,2026-07-28,2026-08-11,E101,Net 30,Delivered,New,VND,1.0
SO000073,Q000222,L000409,C0056,08-17-2026,2026-10-01,E103,Net 30,Open,New,VND,1.0
SO000074,Q000230,L000423,C0066,2025-05-14,2025-06-13,E101,Net 60,Delivered,New,VND,1.0
SO000075,Q000231,L000428,C0016,2025-06-09,2025-06-23,E101,Net 30,Delivered,New,VND,1.0
SO000076,Q000232,L000430,C0026,2025-06-13,2025-06-27,E103,Net 30,Delivered,New,VND,1.0
SO000077,Q000233,L000431,C0088,2025-06-20,2025-07-04,E102,Net 45,Delivered,New,VND,1.0
SO000078,Q000238,L000441,C0002,2025-11-05,2025-11-26,E101,Net 60,Delivered,New,USD,25115.8325
SO000079,Q000239,L000443,C0097,2025-11-10,2025-11-17,E101,Net 30,Delivered,New,VND,1.0
SO000080,Q000240,L000448,C0002,2025-12-01,2025-12-22,E101,Net 60,Delivered,New,VND,1.0
SO000081,Q000242,L000455,C0007,2025-12-20,2025-12-27,E102,Net 30,Delivered,New,VND,1.0
SO000082,Q000246,L000463,C0034,2026-02-16,2026-03-09,E102,Net 30,Delivered,New,USD,25395.4825
SO000083,Q000247,L000472,C0004,2025-03-23,2025-04-22,E101,Net 60,Delivered,New,VND,1.0
SO000084,Q000248,L000473,C0171,2025-03-28,2025-04-11,E103,Net 30,Delivered,New,USD,25714.6694
SO000085,Q000252,L000482,C0158,2025-07-04,2025-08-03,E102,Net 30,Delivered,New,VND,1.0
SO000086,Q000254,L000487,C0005,2025-08-27,2025-09-26,E102,Net 45,Delivered,New,VND,1.0
SO000087,Q000258,L000491,C0033,2025-09-25,2025-11-09,E103,Net 45,Delivered,New,USD,25093.3448
SO000088,Q000261,L000493,C0045,2025-10-19,2025-10-26,E103,Net 60,Delivered,New,VND,1.0
SO000089,Q000264,L000495,C0031,2025-10-31,2025-11-21,E103,Net 45,Delivered,New,USD,25130.4555
SO000090,Q000265,L000500,C0068,2025-12-06,2025-12-27,E101,COD,Delivered,New,VND,1.0
SO000091,Q000267,L000501,C0127,2025-12-26,2026-01-05,E102,Net 30,Delivered,New,VND,1.0
SO000092,Q000268,L000503,C0002,2025-12-22,2026-01-01,E101,Net 60,Delivered,New,USD,25112.1677
SO000093,Q000272,L000505,C0112,2026-01-25,2026-02-04,E103,Net 30,Delivered,New,VND,1.0
SO000094,Q000274,L000506,C0100,02-24-2026,2026-03-10,E101,Net 60,Delivered,New,VND,1.0
SO000095,Q000279,L000511,C0009,2026-05-08,2026-05-29,E102,Net 30,Delivered,New,VND,1.0
SO000096,Q000280,L000513,C0088,2026-05-26,2026-06-02,E101,Net 45,Delivered,New,VND,1.0
SO000097,Q000285,L000520,C0067,2026-06-29,2026-07-29,E102,Net 30,Delivered,New,VND,1.0
SO000098,Q000294,L000527,C0066,2026-07-26,2026-08-16,E103,Net 60,Delivered,New,VND,1.0
SO000099,Q000296,L000528,C0034,2026-08-03,2026-09-02,E101,Net 30,Partially Delivered,New,USD,25364.3437
SO000100,Q000308,L000542,C0026,2025-03-13,2025-04-12,E102,Net 30,Delivered,New,VND,1.0
SO000101,Q000309,L000543,C0003,2025-03-17,2025-03-24,E102,Net 30,Delivered,New,VND,1.0
SO000102,Q000317,L000562,C0097,2025-11-04,2025-11-14,E103,Net 30,Delivered,New,VND,1.0
SO000103,Q000320,L000571,C0029,2026-01-10,2026-01-31,E103,Net 30,Delivered,New,USD,25172.9667
SO000104,Q000323,L000575,C0009,2026-05-04,2026-05-25,E101,Net 30,Delivered,New,VND,1.0
SO000105,Q000324,L000584,C0068,2026-08-27,2026-09-03,E101,COD,Open,New,VND,1.0
SO000106,Q000329,L000590,C0007,2025-07-08,2025-08-22,E103,Net 30,Delivered,New,VND,1.0
SO000107,Q000341,L000613,C0058,2025-05-15,2025-06-05,E102,Net 45,Delivered,New,USD,25604.9583
SO000108,Q000344,L000618,C0001,07-26-2025,2025-08-16,E101,Net 30,Delivered,New,VND,1.0
SO000109,Q000353,L000634,C0011,2026-01-22,2026-03-08,E103,Net 45,Delivered,New,USD,25289.938
SO000110,Q000368,L000660,C0072,2025-06-10,2025-06-24,E103,COD,Delivered,New,VND,1.0
SO000111,Q000371,L000665,C0006,2025-08-11,2025-08-21,E102,Net 30,Delivered,New,VND,1.0
SO000112,Q000373,L000668,C0041,2025-08-13,2025-09-12,E103,Net 60,Delivered,New,VND,1.0
SO000113,Q000374,L000669,C0001,2025-09-07,2025-10-22,E102,Net 30,Delivered,New,VND,1.0
SO000114,Q000378,L000671,C0003,2025-10-09,2025-10-23,E102,Net 30,Delivered,New,VND,1.0
SO000115,Q000379,L000674,C0019,2025-11-29,2025-12-13,E101,Net 45,Delivered,New,VND,1.0
SO000116,Q000382,L000679,C0001,2025-06-07,2025-06-14,E102,Net 30,Delivered,New,VND,1.0
SO000117,Q000385,L000684,C0122,2025-08-06,2025-08-13,E101,Net 30,Delivered,New,USD,25272.9041
SO000118,Q000388,L000687,C0043,2025-09-28,2025-10-12,E103,COD,Delivered,New,USD,25085.8237
SO000119,Q000392,L000693,C0148,2025-11-11,2025-12-11,E101,Net 45,Delivered,New,VND,1.0
SO000120,Q000398,L000703,C0005,2026-02-19,2026-03-12,E103,Net 45,Delivered,New,USD,25446.992
SO000121,Q000401,L000708,C0023,2026-03-28,2026-04-18,E102,Net 45,Delivered,New,VND,1.0
SO000122,Q000410,L000723,C0028,2025-03-31,2025-04-30,E102,COD,Delivered,New,VND,1.0
SO000123,Q000411,L000724,C0011,2025-05-31,2025-06-21,E102,Net 45,Delivered,New,VND,1.0
SO000124,Q000412,L000728,C0032,2025-07-26,2025-08-05,E103,Net 60,Delivered,New,VND,1.0
SO000125,Q000413,L000732,C0138,2025-11-21,2026-01-05,E103,Net 30,Delivered,New,VND,1.0
SO000126,Q000417,L000734,C0103,2026-01-23,2026-02-13,E103,Net 30,Delivered,New,VND,1.0
SO000127,Q000418,L000735,C0042,2026-03-13,2026-03-23,E101,Net 30,Delivered,New,USD,25390.4401
SO000128,Q000424,L000743,C0008,2026-06-27,2026-07-04,E101,Net 30,Delivered,New,VND,1.0
SO000129,Q000425,L000746,C0051,2025-08-24,2025-10-08,E102,Net 60,Delivered,New,VND,1.0
SO000130,Q000426,L000748,C0009,2025-11-24,2026-01-08,E102,Net 30,Delivered,New,VND,1.0
SO000131,Q000427,L000750,C0130,2026-01-03,2026-01-17,E101,Net 45,Delivered,New,VND,1.0
SO000132,Q000432,L000759,C0004,2026-08-06,2026-08-20,E102,Net 60,Delivered,New,USD,25330.9315
SO000133,Q000439,L000769,C0046,2025-03-26,2025-04-16,E101,Net 45,Delivered,New,VND,1.0
SO000134,Q000448,L000776,C0005,2025-06-21,2025-07-21,E101,Net 45,Delivered,New,VND,1.0
SO000135,Q000450,L000783,C0015,2025-09-28,2025-10-08,E103,Net 30,Delivered,New,USD,25052.6315
SO000136,Q000455,L000789,C0010,2025-11-25,2025-12-02,E103,Net 45,Delivered,New,VND,1.0
SO000137,Q000456,L000792,C0018,2025-12-20,2026-01-03,E101,Net 30,Delivered,New,VND,1.0
SO000138,Q000459,L000796,C0001,2026-02-13,2026-02-23,E103,Net 30,Delivered,New,VND,1.0
SO000139,Q000462,L000797,C0134,2026-02-18,2026-02-28,E103,Net 30,Delivered,New,VND,1.0
SO000140,Q000464,L000801,C0001,2026-03-29,2026-04-28,E102,Net 30,Delivered,New,USD,25460.6416
SO000141,Q000473,L000812,C9005,06-09-2025,2025-06-19,E101,Net 30,Delivered,New,USD,25573.1972
SO000142,Q000474,L000824,C0152,2025-10-06,2025-11-05,E103,Net 60,Delivered,New,VND,1.0
SO000143,Q000483,L000842,C0018,2026-08-01,2026-09-15,E102,Net 30,Open,New,VND,1.0
SO000144,Q000485,L000843,C0007,2026-08-10,2026-08-24,E102,Net 30,Delivered,New,VND,1.0
SO000145,,,C0002,2026-07-09,2026-08-08,E103,Net 60,Delivered,Repeat,VND,1.0
SO000146,Q000045,,C0002,2026-08-07,2026-08-28,E101,Net 60,Delivered,Repeat,VND,1.0
SO000147,Q000140,,C0009,2026-08-22,2026-09-01,E103,Net 30,Partially Delivered,Repeat,VND,1.0
SO000148,Q000018,,C0014,2026-08-26,2026-09-09,E102,Net 30,Open,Repeat,VND,1.0
SO000149,Q000205,,C0054,2026-08-03,2026-09-02,E101,Net 30,Open,Repeat,VND,1.0
SO000150,,,C0011,2026-05-21,2026-05-31,E103,Net 45,Delivered,Repeat,VND,1.0
SO000151,Q000411,,C0011,2026-03-12,2026-03-22,E102,Net 45,Delivered,Repeat,VND,1.0
SO000152,Q000248,,C0171,2026-08-07,2026-08-14,E101,Net 30,Partially Delivered,Repeat,VND,1.0
SO000153,Q000317,,C0097,2026-01-06,2026-02-05,E102,Net 30,Delivered,Repeat,VND,1.0
SO000154,Q000450,,C0015,03/11/2025,2025-11-10,E103,Net 30,Open,Repeat,VND,1.0
SO000155,,,C0015,2025-11-19,2025-12-10,E103,Net 30,Delivered,Repeat,VND,1.0
SO000156,Q000450,,C0015,2026-03-12,2026-03-19,E101,Net 30,Delivered,Repeat,VND,1.0
SO000157,Q000455,,C0010,2026-04-08,2026-05-08,E103,Net 45,Delivered,Repeat,VND,1.0
SO000158,Q000183,,C0035,2026-08-20,2026-09-19,E103,Net 45,Open,Repeat,VND,1.0
SO000159,Q000373,,C0041,2025-09-17,2025-09-24,E102,Net 60,Delivered,Repeat,VND,1.0
SO000160,Q000373,,C0041,2025-10-25,2025-11-24,E102,Net 60,Delivered,Repeat,VND,1.0
SO000161,,,C0039,2026-02-24,2026-03-26,E101,Net 45,Delivered,Repeat,VND,1.0
SO000162,Q000261,,C0045,2025-11-25,2025-12-16,E101,Net 60,Delivered,Repeat,VND,1.0
SO000163,Q000418,,C0042,2026-04-18,2026-04-25,E102,Net 30,Delivered,Repeat,VND,1.0
SO000164,,,C0043,2026-03-06,2026-04-05,E102,COD,Delivered,Repeat,VND,1.0
SO000165,Q000388,,C0043,2025-11-29,2025-12-20,E102,COD,Delivered,Repeat,VND,1.0
SO000166,Q000425,,C0051,02/12/2025,2025-12-16,E101,Net 60,Open,Repeat,VND,1.0
SO000167,Q000091,,C0050,02-05-2026,2026-02-26,E103,Net 30,Delivered,Repeat,VND,1.0
SO000168,,,C0095,2026-07-07,2026-08-06,E101,Net 30,Delivered,Repeat,VND,1.0
SO000169,Q000027,,C0104,2026-01-22,2026-01-29,E102,Net 30,Delivered,Repeat,VND,1.0
SO000170,Q000272,,C0112,2026-03-26,2026-04-25,E102,Net 30,Delivered,Repeat,VND,1.0
SO000171,,,C0112,2026-04-22,2026-05-06,E101,Net 30,Delivered,Repeat,VND,1.0
SO000172,Q000116,,C0123,2026-07-28,2026-08-27,E103,Net 60,Delivered,Repeat,VND,1.0
SO000173,Q000427,,C0130,2026-06-01,2026-06-22,E101,Net 45,Delivered,Repeat,VND,1.0
SO000174,,,C0138,04-16-2026,2026-05-16,E103,Net 30,Delivered,Repeat,VND,1.0
SO000175,,,C0138,2026-03-19,2026-04-02,E102,Net 30,Delivered,Repeat,VND,1.0
SO000176,Q000413,,C0138,2026-03-20,2026-04-10,E101,Net 30,Delivered,Repeat,VND,1.0
SO000177,Q000392,,C0148,2026-02-07,2026-02-21,E103,Net 45,Delivered,Repeat,VND,1.0
SO000178,Q000096,,C0172,2026-04-07,2026-04-28,E102,Net 30,Delivered,Repeat,VND,1.0
SO000179,Q000096,,C0172,2026-02-12,2026-03-14,E102,Net 30,Delivered,Repeat,VND,1.0
