shipment_line_id,shipment_id,sales_order_line_id,product_id,quantity_shipped
SHL0000361,SH000308,SOL0000222,P006,9
SHL0000362,SH000309,SOL0000223,P003,8
SHL0000363,SH000310,SOL0000104,P003,10
SHL0000364,SH000311,SOL0000128,P005,4
SHL0000365,SH000312,SOL0000034,P005,12
SHL0000366,SH000313,SOL0000035,P004,6
SHL0000367,SH000314,SOL0000105,P005,10
SHL0000368,SH000315,SOL0000105,P005,12
SHL0000369,SH000316,SOL0000036,P003,13
SHL0000370,SH000317,SOL0000105,P005,7
SHL0000371,SH000318,SOL0000107,P001,40
SHL0000372,SH000319,SOL0000108,P006,9
SHL0000373,SH000320,SOL0000035,P004,8
SHL0000374,SH000321,SOL0000106,P004,19
SHL0000375,SH000322,SOL0000172,P002,17
SHL0000376,SH000323,SOL0000173,P003,15
SHL0000377,SH000324,SOL0000081,P001,11
SHL0000378,SH000325,SOL0000030,P020,140
SHL0000379,SH000326,SOL0000130,P003,39
SHL0000380,SH000326,SOL0000131,P002,33
SHL0000381,SH000327,SOL0000129,P001,16
SHL0000382,SH000328,SOL0000294,P023,7
SHL0000383,SH000329,SOL0000265,P001,12
SHL0000384,SH000330,SOL0000080,P003,16
SHL0000385,SH000331,SOL0000080,P003,51
SHL0000386,SH000332,SOL0000132,P001,12
SHL0000387,SH000332,SOL0000133,P003,3
SHL0000388,SH000332,SOL0000134,P006,8
SHL0000389,SH000333,SOL0000078,P006,13
SHL0000390,SH000333,SOL0000079,P004,16
SHL0000391,SH000334,SOL0000077,P001,14
SHL0000392,SH000335,SOL0000275,P022,11
SHL0000393,SH000336,SOL0000174,P024,5
SHL0000394,SH000337,SOL0000175,P026,12
SHL0000395,SH000338,SOL0000133,P003,12
SHL0000396,SH000339,SOL0000234,P005,27
SHL0000397,SH000340,SOL0000233,P003,8
SHL0000398,SH000341,SOL0000131,P002,9
SHL0000399,SH000342,SOL0000232,P002,12
SHL0000400,SH000343,SOL0000263,P001,17
SHL0000401,SH000343,SOL0000264,P003,22
SHL0000402,SH000344,SOL0000298,P001,5
SHL0000403,SH000345,SOL0000266,P002,20
SHL0000404,SH000346,SOL0000267,P018,30
SHL0000405,SH000347,SOL0000268,P021,26
SHL0000406,SH000348,SOL0000177,P006,29
