inventory_move_id,movement_date,warehouse_id,product_id,movement_type,quantity_signed,unit_cost_vnd,reference_document,reference_line,batch_no,expiry_date
IM00000043,2025-02-23,WH01,P003,Sales Issue,-14,324800.0,SO000001,SOL0000003,,
IM00000044,2025-02-23,WH01,P005,Sales Issue,-13,474700.0,SO000001,SOL0000004,,
IM00000045,2025-02-24,WH01,P001,Sales Issue,-29,461500.0,SO000001,SOL0000001,,
IM00000046,2025-02-24,WH01,P011,Sales Issue,-18,204000.0,SO000058,SOL0000109,,
IM00000047,2025-02-28,WH01,P005,PO Receipt,16,452628.4706,PO000007,POL0000007,B2502008,2027-02-28
IM00000048,2025-03-07,WH01,P002,Sales Issue,-11,327200.0,SO000002,SOL0000005,,
IM00000049,2025-03-13,WH01,P002,Sales Issue,-61,329100.0,SO000060,SOL0000113,,
IM00000050,2025-03-15,WH01,P024,Sales Issue,-10,3647500.0,SO000003,SOL0000006,,
IM00000051,2025-03-23,WH01,P001,Sales Issue,-24,473000.0,SO000101,SOL0000179,,
IM00000052,2025-03-29,WH01,P001,PO Receipt,36,466161.0407,PO000010,POL0000010,B2503011,2027-03-29
IM00000053,2025-04-01,WH01,P005,Sales Issue,-5,460800.0,SO000059,SOL0000110,,
IM00000054,2025-04-01,WH01,P003,Sales Issue,-22,303600.0,SO000059,SOL0000111,,
IM00000055,2025-04-02,WH01,P004,Sales Issue,-4,480600.0,SO000059,SOL0000112,,
IM00000056,2025-04-07,WH01,P002,PO Receipt,48,303709.48641891003,PO000008,POL0000008,B2503009,2027-04-07
IM00000057,2025-04-09,WH01,P022,Sales Issue,-6,1670300.0,SO000084,SOL0000153,,
IM00000058,2025-04-10,WH01,P004,Sales Issue,-8,482800.0,SO000100,SOL0000178,,
IM00000059,2025-04-14,WH01,P004,Sales Issue,-42,473700.0,SO000133,SOL0000235,,
IM00000060,2025-04-14,WH01,P006,Sales Issue,-6,424500.0,SO000133,SOL0000236,,
IM00000061,2025-04-15,WH01,P003,PO Receipt,25,337566.0564,PO000011,POL0000011,B2504012,2027-04-15
IM00000062,2025-04-20,WH01,P002,Sales Issue,-28,325000.0,SO000083,SOL0000152,,
IM00000063,2025-04-28,WH01,P011,Sales Issue,-30,215000.0,SO000122,SOL0000213,,
IM00000064,2025-05-05,WH01,P004,PO Receipt,45,505104.66383130004,PO000013,POL0000013,B2504014,2027-05-05
IM00000065,2025-05-07,WH01,P001,Cycle Count Adjustment,-3,469000.0,ADJ,,,
IM00000066,2025-05-07,WH01,P001,Sales Issue,-90,463800.0,SO000004,SOL0000007,,
IM00000067,2025-05-09,WH01,P011,PO Receipt,112,190590.2643,PO000015,POL0000015,B2504016,2027-05-09
IM00000068,2025-05-09,WH01,P011,Sales Issue,-75,215000.0,SO000122,SOL0000213,,
IM00000069,2025-05-10,WH01,P024,PO Receipt,20,3397482.61972215,PO000009,POL0000009,B2503010,2028-05-09
IM00000070,2025-05-10,WH01,P024,Sales Issue,-10,3647500.0,SO000003,SOL0000006,,
IM00000071,2025-05-13,WH01,P001,PO Receipt,93,466161.0407,PO000016,POL0000016,B2505017,2027-05-13
IM00000072,2025-05-15,WH01,P002,PO Receipt,32,302353.29927759,PO000014,POL0000014,B2504015,2027-05-15
IM00000073,2025-05-21,WH01,P001,Sales Issue,-20,486300.0,SO000005,SOL0000008,,
IM00000074,2025-05-24,WH01,P022,PO Receipt,8,1595129.47259743,PO000012,POL0000012,B2504013,2028-05-23
IM00000075,2025-05-24,WH01,P022,Sales Issue,-3,1670300.0,SO000084,SOL0000153,,
IM00000076,2025-05-30,WH01,P007,Sales Issue,-35,122400.0,SO000006,SOL0000009,,
IM00000077,2025-06-04,WH01,P019,Sales Issue,-8,205800.0,SO000107,SOL0000186,,
IM00000078,2025-06-06,WH01,P006,Sales Issue,-13,445000.0,SO000046,SOL0000084,,
IM00000079,2025-06-06,WH01,P005,Sales Issue,-9,462000.0,SO000046,SOL0000085,,
IM00000080,2025-06-07,WH01,P004,Sales Issue,-51,472600.0,SO000046,SOL0000086,,
IM00000081,2025-06-09,WH01,P001,Sales Issue,-15,468800.0,SO000022,SOL0000041,,
IM00000082,2025-06-09,WH01,P001,Sales Issue,-21,454600.0,SO000045,SOL0000083,,
IM00000083,2025-06-11,WH01,P005,PO Receipt,8,452628.4706,PO000019,POL0000019,B2506020,2027-06-11
IM00000084,2025-06-11,WH01,P006,Sales Issue,-9,449000.0,SO000007,SOL0000010,,
IM00000085,2025-06-11,WH01,P001,Sales Issue,-50,482100.0,SO000007,SOL0000011,,
IM00000086,2025-06-11,WH01,P018,Sales Issue,-44,227200.0,SO000074,SOL0000137,,
IM00000087,2025-06-12,WH01,P003,Sales Issue,-48,315400.0,SO000116,SOL0000203,,
IM00000088,2025-06-15,WH01,P019,PO Receipt,15,228882.4689,PO000018,POL0000018,B2506019,2026-06-15
IM00000089,2025-06-15,WH01,P019,Sales Issue,-8,205800.0,SO000107,SOL0000186,,
IM00000090,2025-06-17,WH01,P001,PO Receipt,48,466161.0407,PO000022,POL0000022,B2506023,2027-06-17
IM00000091,2025-06-17,WH01,P013,Sales Issue,-12,255800.0,SO000141,SOL0000253,,
IM00000092,2025-06-17,WH01,P016,Sales Issue,-18,400400.0,SO000141,SOL0000254,,
IM00000093,2025-06-17,WH01,P015,Sales Issue,-9,94500.0,SO000141,SOL0000255,,
IM00000094,2025-06-17,WH01,P014,Sales Issue,-15,299700.0,SO000141,SOL0000256,,
IM00000095,2025-06-19,WH01,P018,PO Receipt,42,243589.7772,PO000023,POL0000023,B2506024,2025-12-16
IM00000096,2025-06-19,WH01,P018,Sales Issue,-11,227200.0,SO000074,SOL0000137,,
IM00000097,2025-06-19,WH01,P001,Sales Issue,-17,465000.0,SO000123,SOL0000214,,
IM00000098,2025-06-20,WH01,P003,Sales Issue,-16,324900.0,SO000123,SOL0000215,,
IM00000099,2025-06-21,WH01,P007,PO Receipt,24,112645.64638455001,PO000017,POL0000017,B2505018,2027-06-21
IM00000100,2025-06-22,WH01,P005,Sales Issue,-7,456100.0,SO000075,SOL0000139,,
IM00000101,2025-06-22,WH01,P001,Sales Issue,-36,464000.0,SO000110,SOL0000190,,
IM00000102,2025-06-22,WH01,P005,Sales Issue,-14,472600.0,SO000110,SOL0000191,,
IM00000103,2025-06-22,WH01,P002,Sales Issue,-61,311000.0,SO000110,SOL0000193,,
IM00000104,2025-06-24,WH01,P002,Sales Issue,-6,328400.0,SO000021,SOL0000037,,
IM00000105,2025-06-24,WH01,P006,Sales Issue,-11,431100.0,SO000021,SOL0000039,,
IM00000106,2025-06-25,WH01,P003,PO Receipt,50,337566.0564,PO000024,POL0000024,B2506025,2027-06-25
IM00000107,2025-06-25,WH01,P005,Sales Issue,-12,460100.0,SO000021,SOL0000038,,
IM00000108,2025-06-25,WH01,P003,Sales Issue,-27,310800.0,SO000021,SOL0000040,,
IM00000109,2025-06-26,WH01,P023,Sales Issue,-6,2626100.0,SO000076,SOL0000140,,
IM00000110,2025-06-27,WH01,P016,PO Receipt,32,367323.9212,PO000029,POL0000029,B2506030,2028-06-26
IM00000111,2025-06-27,WH01,P016,Sales Issue,-18,400400.0,SO000141,SOL0000254,,
IM00000112,2025-06-28,WH01,P004,PO Receipt,105,496634.9079159,PO000020,POL0000020,B2506021,2027-06-28
IM00000113,2025-06-28,WH01,P015,PO Receipt,12,96292.983,PO000028,POL0000028,B2506029,2028-06-27
IM00000114,2025-06-28,WH01,P005,PO Receipt,24,452628.4706,PO000033,POL0000033,B2506034,2027-06-28
IM00000115,2025-06-28,WH01,P004,Sales Issue,-54,472600.0,SO000046,SOL0000086,,
IM00000116,2025-06-28,WH01,P004,Sales Issue,-24,480200.0,SO000007,SOL0000012,,
IM00000117,2025-06-28,WH01,P004,Sales Issue,-10,449000.0,SO000116,SOL0000204,,
IM00000118,2025-06-28,WH01,P015,Sales Issue,-3,94500.0,SO000141,SOL0000255,,
IM00000119,2025-06-28,WH01,P004,Sales Issue,-8,456000.0,SO000075,SOL0000138,,
IM00000120,2025-06-28,WH01,P004,Sales Issue,-9,469400.0,SO000110,SOL0000192,,
IM00000121,2025-06-29,WH01,P014,PO Receipt,30,266969.5427,PO000027,POL0000027,B2506028,2028-06-28
IM00000122,2025-06-29,WH01,P014,Sales Issue,-16,299700.0,SO000141,SOL0000256,,
IM00000123,2025-06-30,WH01,P013,PO Receipt,65,257003.2907,PO000026,POL0000026,B2506027,2028-06-29
IM00000124,2025-06-30,WH01,P001,PO Receipt,72,466161.0407,PO000031,POL0000031,B2506032,2027-06-30
IM00000125,2025-06-30,WH01,P005,PO Receipt,16,452628.4706,PO000037,POL0000037,B2506038,2027-06-30
IM00000126,2025-06-30,WH01,P013,Sales Issue,-49,255800.0,SO000141,SOL0000253,,
IM00000127,2025-06-30,WH01,P001,Sales Issue,-17,464000.0,SO000110,SOL0000190,,
IM00000128,2025-07-01,WH01,P011,Sales Issue,-37,204700.0,SO000023,SOL0000042,,
IM00000129,2025-07-01,WH01,P007,Sales Issue,-30,120500.0,SO000023,SOL0000043,,
IM00000130,2025-07-02,WH01,P001,PO Receipt,57,478093.48998411,PO000021,POL0000021,B2506022,2027-07-02
IM00000131,2025-07-02,WH01,P003,PO Receipt,15,337566.0564,PO000030,POL0000030,B2506031,2027-07-02
IM00000132,2025-07-02,WH01,P021,Sales Issue,-28,98500.0,SO000077,SOL0000141,,
IM00000133,2025-07-02,WH01,P017,Sales Issue,-43,147500.0,SO000077,SOL0000142,,
IM00000134,2025-07-02,WH01,P018,Sales Issue,-31,219800.0,SO000077,SOL0000143,,
IM00000135,2025-07-04,WH01,P004,PO Receipt,24,496122.626844,PO000025,POL0000025,B2506026,2027-07-04
IM00000136,2025-07-04,WH01,P004,QA Rejection,-1,496122.626844,PO000025,POL0000025,B2506026,
IM00000137,2025-07-04,WH01,P006,PO Receipt,19,458389.7415,PO000035,POL0000035,B2506036,2028-07-03
IM00000138,2025-07-04,WH01,P004,Sales Issue,-6,469400.0,SO000110,SOL0000192,,
IM00000139,2025-07-07,WH01,P026,Cycle Count Adjustment,-3,3907000.0,ADJ,,,
IM00000140,2025-07-09,WH01,P003,PO Receipt,25,337566.0564,PO000036,POL0000036,B2506037,2027-07-09
IM00000141,2025-07-12,WH01,P011,PO Receipt,152,190590.2643,PO000041,POL0000041,B2507042,2027-07-12
IM00000142,2025-07-12,WH01,P011,Sales Issue,-116,204700.0,SO000023,SOL0000042,,
IM00000143,2025-07-19,WH01,P002,PO Receipt,56,301490.99407449,PO000032,POL0000032,B2506033,2027-07-19
IM00000144,2025-07-19,WH01,P002,PO Receipt,40,301467.51535626,PO000034,POL0000034,B2506035,2027-07-19
IM00000145,2025-07-19,WH01,P002,Sales Issue,-35,328400.0,SO000021,SOL0000037,,
IM00000146,2025-07-19,WH01,P001,Sales Issue,-17,450800.0,SO000134,SOL0000237,,
IM00000147,2025-07-23,WH01,P007,PO Receipt,52,111613.92165825001,PO000040,POL0000040,B2507041,2027-07-23
IM00000148,2025-07-23,WH01,P007,Sales Issue,-21,120500.0,SO000023,SOL0000043,,
IM00000149,2025-07-27,WH01,P017,PO Receipt,28,140324.5042,PO000042,POL0000042,B2507043,2027-07-27
IM00000150,2025-07-28,WH01,P014,Sales Issue,-14,302300.0,SO000048,SOL0000089,,
IM00000151,2025-07-28,WH01,P024,Sales Issue,-10,3609800.0,SO000008,SOL0000013,,
IM00000152,2025-07-30,WH01,P021,PO Receipt,180,84787.90803514,PO000044,POL0000044,B2507045,2027-07-30
IM00000153,2025-07-30,WH01,P021,Sales Issue,-152,98500.0,SO000077,SOL0000141,,
IM00000154,2025-07-30,WH01,P021,Sales Issue,-28,95300.0,SO000047,SOL0000088,,
IM00000155,2025-07-31,WH01,P018,PO Receipt,56,219800.82428694,PO000043,POL0000043,B2507044,2026-01-27
IM00000156,2025-07-31,WH01,P018,Sales Issue,-24,219800.0,SO000077,SOL0000143,,
IM00000157,2025-07-31,WH01,P018,Sales Issue,-32,223000.0,SO000047,SOL0000087,,
IM00000158,2025-08-01,WH01,P004,PO Receipt,33,495174.53439090005,PO000039,POL0000039,B2506040,2027-08-01
IM00000159,2025-08-02,WH01,P009,Sales Issue,-27,178000.0,SO000085,SOL0000154,,
IM00000160,2025-08-02,WH01,P011,Sales Issue,-16,204000.0,SO000085,SOL0000155,,
IM00000161,2025-08-03,WH01,P001,Sales Issue,-9,459900.0,SO000124,SOL0000216,,
IM00000162,2025-08-05,WH01,P026,Sales Issue,-3,3894700.0,SO000061,SOL0000114,,
IM00000163,2025-08-06,WH01,P001,Sales Issue,-16,462100.0,SO000024,SOL0000044,,
IM00000164,2025-08-06,WH01,P006,Sales Issue,-19,432200.0,SO000024,SOL0000045,,
IM00000165,2025-08-06,WH01,P005,Sales Issue,-42,462700.0,SO000024,SOL0000046,,
IM00000166,2025-08-08,WH01,P023,PO Receipt,10,2342875.69632571,PO000038,POL0000038,B2506039,2028-08-07
IM00000167,2025-08-08,WH01,P014,PO Receipt,18,266969.5427,PO000048,POL0000048,B2507049,2028-08-07
IM00000168,2025-08-08,WH01,P023,Sales Issue,-4,2626100.0,SO000076,SOL0000140,,
IM00000169,2025-08-08,WH01,P014,Sales Issue,-5,302300.0,SO000048,SOL0000089,,
IM00000170,2025-08-08,WH01,P023,Sales Issue,-6,2570600.0,SO000008,SOL0000014,,
IM00000171,2025-08-09,WH01,P001,PO Receipt,24,466161.0407,PO000053,POL0000053,B2508054,2027-08-09
IM00000172,2025-08-11,WH01,P004,Sales Issue,-8,458000.0,SO000025,SOL0000047,,
IM00000173,2025-08-11,WH01,P027,Sales Issue,-5,2957500.0,SO000117,SOL0000205,,
IM00000174,2025-08-12,WH01,P003,Sales Issue,-12,310900.0,SO000025,SOL0000048,,
IM00000175,2025-08-12,WH01,P010,Sales Issue,-30,263100.0,SO000049,SOL0000091,,
IM00000176,2025-08-14,WH01,P011,PO Receipt,16,190590.2643,PO000052,POL0000052,B2508053,2027-08-14
IM00000177,2025-08-14,WH01,P005,PO Receipt,40,452628.4706,PO000055,POL0000055,B2508056,2027-08-14
IM00000178,2025-08-14,WH01,P005,Sales Issue,-2,462700.0,SO000024,SOL0000046,,
IM00000179,2025-08-14,WH01,P025,Sales Issue,-4,3685500.0,SO000108,SOL0000187,,
IM00000180,2025-08-15,WH01,P022,Sales Issue,-5,1671000.0,SO000108,SOL0000188,,
IM00000181,2025-08-17,WH01,P018,PO Receipt,60,218553.0611706,PO000046,POL0000046,B2507047,2026-02-13
IM00000182,2025-08-17,WH01,P018,Sales Issue,-27,223000.0,SO000047,SOL0000087,,
IM00000183,2025-08-19,WH01,P006,PO Receipt,19,458389.7415,PO000056,POL0000056,B2508057,2028-08-18
IM00000184,2025-08-20,WH01,P009,PO Receipt,30,163226.27824342,PO000051,POL0000051,B2508052,2028-08-19
IM00000185,2025-08-20,WH01,P009,Sales Issue,-6,178000.0,SO000085,SOL0000154,,
IM00000186,2025-08-20,WH01,P009,Sales Issue,-23,186800.0,SO000049,SOL0000090,,
IM00000187,2025-08-20,WH01,P009,Sales Issue,-1,178400.0,SO000111,SOL0000194,,
IM00000188,2025-08-20,WH01,P008,Sales Issue,-18,255800.0,SO000111,SOL0000195,,
IM00000189,2025-08-20,WH01,P011,Sales Issue,-36,209400.0,SO000062,SOL0000115,,
IM00000190,2025-08-20,WH01,P001,Sales Issue,-48,463300.0,SO000106,SOL0000185,,
IM00000191,2025-08-21,WH01,P021,PO Receipt,65,97509.21784371999,PO000047,POL0000047,B2507048,2027-08-21
IM00000192,2025-08-21,WH01,P005,Cycle Count Adjustment,-3,461000.0,ADJ,,,
IM00000193,2025-08-21,WH01,P021,Sales Issue,-38,95300.0,SO000047,SOL0000088,,
IM00000194,2025-08-21,WH01,P008,Sales Issue,-14,270100.0,SO000062,SOL0000116,,
IM00000195,2025-08-22,WH01,P026,PO Receipt,4,4142308.5523305605,PO000045,POL0000045,B2507046,2028-08-21
IM00000196,2025-08-22,WH01,P026,Sales Issue,-4,3894700.0,SO000061,SOL0000114,,
IM00000197,2025-08-28,WH01,P001,PO Receipt,66,466161.0407,PO000063,POL0000063,B2508064,2027-08-28
IM00000198,2025-08-29,WH01,P009,PO Receipt,24,162749.09476182,PO000057,POL0000057,B2508058,2028-08-28
IM00000199,2025-08-29,WH01,P009,Sales Issue,-24,178400.0,SO000111,SOL0000194,,
IM00000200,2025-08-31,WH01,P011,PO Receipt,64,190590.2643,PO000066,POL0000066,B2508067,2027-08-31
IM00000201,2025-08-31,WH01,P011,Sales Issue,-28,209400.0,SO000062,SOL0000115,,
IM00000202,2025-09-07,WH01,P009,PO Receipt,32,163106.8816251,PO000065,POL0000065,B2508066,2028-09-06
IM00000203,2025-09-07,WH01,P009,Sales Issue,-8,178400.0,SO000111,SOL0000194,,
IM00000204,2025-09-10,WH01,P005,Sales Issue,-7,468800.0,SO000112,SOL0000196,,
IM00000205,2025-09-11,WH01,P024,PO Receipt,28,3345177.0186129,PO000050,POL0000050,B2507051,2028-09-10
IM00000206,2025-09-11,WH01,P025,PO Receipt,36,3386658.21044454,PO000061,POL0000061,B2508062,2028-09-10
IM00000207,2025-09-11,WH01,P024,Sales Issue,-18,3609800.0,SO000008,SOL0000013,,
IM00000208,2025-09-11,WH01,P025,Sales Issue,-32,3685500.0,SO000108,SOL0000187,,
IM00000209,2025-09-11,WH01,P004,Sales Issue,-25,476700.0,SO000026,SOL0000049,,
IM00000210,2025-09-12,WH01,P023,PO Receipt,10,2323442.68243886,PO000049,POL0000049,B2507050,2028-09-11
IM00000211,2025-09-12,WH01,P023,Sales Issue,-4,2570600.0,SO000008,SOL0000014,,
IM00000212,2025-09-12,WH01,P023,Sales Issue,-6,2596700.0,SO000117,SOL0000206,,
IM00000213,2025-09-15,WH01,P005,PO Receipt,8,452628.4706,PO000068,POL0000068,B2509069,2027-09-15
IM00000214,2025-09-16,WH01,P026,PO Receipt,28,4127497.4061901104,PO000054,POL0000054,B2508055,2028-09-15
IM00000215,2025-09-16,WH01,P026,Sales Issue,-22,3894700.0,SO000061,SOL0000114,,
IM00000216,2025-09-21,WH01,P010,PO Receipt,78,233516.8682496,PO000060,POL0000060,B2508061,2026-09-21
IM00000217,2025-09-21,WH01,P010,Sales Issue,-52,263100.0,SO000049,SOL0000091,,
IM00000218,2025-09-21,WH01,P010,Sales Issue,-26,249400.0,SO000063,SOL0000117,,
IM00000219,2025-09-23,WH01,P005,Sales Issue,-7,462900.0,SO000159,SOL0000285,,
IM00000220,2025-09-24,WH01,P002,Sales Issue,-10,327300.0,SO000086,SOL0000157,,
IM00000221,2025-09-24,WH01,P004,Sales Issue,-15,459800.0,SO000086,SOL0000158,,
IM00000222,2025-09-25,WH01,P003,Sales Issue,-32,322000.0,SO000086,SOL0000156,,
IM00000223,2025-09-26,WH01,P027,PO Receipt,10,3031293.24131676,PO000059,POL0000059,B2508060,2028-09-25
IM00000224,2025-09-26,WH01,P008,PO Receipt,156,259723.72171813998,PO000067,POL0000067,B2508068,2027-09-26
IM00000225,2025-09-26,WH01,P027,Sales Issue,-5,2957500.0,SO000117,SOL0000205,,
IM00000226,2025-09-26,WH01,P008,Sales Issue,-138,270100.0,SO000062,SOL0000116,,
IM00000227,2025-09-28,WH01,P008,PO Receipt,12,259682.46067905,PO000064,POL0000064,B2508065,2027-09-28
IM00000228,2025-10-03,WH01,P004,PO Receipt,34,487348.60007339995,PO000069,POL0000069,B2509070,2027-10-03
IM00000229,2025-10-04,WH01,P023,PO Receipt,15,2315660.40735099,PO000058,POL0000058,B2508059,2028-10-03
IM00000230,2025-10-04,WH01,P023,Sales Issue,-7,2596700.0,SO000117,SOL0000206,,
IM00000231,2025-10-06,WH01,P016,Sales Issue,-14,406300.0,SO000050,SOL0000094,,
IM00000232,2025-10-06,WH01,P013,Sales Issue,-16,260100.0,SO000050,SOL0000095,,
IM00000233,2025-10-06,WH01,P001,Sales Issue,-11,452900.0,SO000135,SOL0000238,,
IM00000234,2025-10-06,WH01,P002,Sales Issue,-5,314300.0,SO000135,SOL0000239,,
IM00000235,2025-10-07,WH01,P015,Sales Issue,-9,93700.0,SO000050,SOL0000092,,
IM00000236,2025-10-07,WH01,P014,Sales Issue,-13,292000.0,SO000050,SOL0000093,,
IM00000237,2025-10-07,WH01,P001,Sales Issue,-29,485600.0,SO000129,SOL0000224,,
IM00000238,2025-10-08,WH01,P003,PO Receipt,45,337566.0564,PO000072,POL0000072,B2509073,2027-10-08
IM00000239,2025-10-09,WH01,P022,PO Receipt,16,1566851.29472333,PO000062,POL0000062,B2508063,2028-10-08
IM00000240,2025-10-09,WH01,P022,Sales Issue,-10,1671000.0,SO000108,SOL0000188,,
IM00000241,2025-10-09,WH01,P032,Sales Issue,-4,14568600.0,SO000066,SOL0000123,,
IM00000242,2025-10-11,WH01,P001,Sales Issue,-33,476700.0,SO000118,SOL0000207,,
IM00000243,2025-10-11,WH01,P001,Sales Issue,-16,471200.0,SO000028,SOL0000051,,
IM00000244,2025-10-11,WH01,P006,Sales Issue,-22,446500.0,SO000028,SOL0000052,,
IM00000245,2025-10-12,WH01,P002,Sales Issue,-8,312500.0,SO000027,SOL0000050,,
IM00000246,2025-10-14,WH01,P013,PO Receipt,84,243349.6941,PO000074,POL0000074,B2510075,2028-10-13
IM00000247,2025-10-14,WH01,P013,Sales Issue,-70,260100.0,SO000050,SOL0000095,,
IM00000248,2025-10-15,WH01,P004,PO Receipt,15,487371.2219649,PO000071,POL0000071,B2509072,2027-10-15
IM00000249,2025-10-15,WH01,P015,PO Receipt,12,96811.3957,PO000078,POL0000078,B2510079,2028-10-14
IM00000250,2025-10-15,WH01,P015,Sales Issue,-2,93700.0,SO000050,SOL0000092,,
IM00000251,2025-10-17,WH01,P001,PO Receipt,40,464057.7235,PO000076,POL0000076,B2510077,2027-10-17
IM00000252,2025-10-17,WH01,P014,PO Receipt,44,305913.9306,PO000077,POL0000077,B2510078,2028-10-16
IM00000253,2025-10-17,WH01,P006,PO Receipt,22,463758.5862,PO000080,POL0000080,B2510081,2028-10-16
IM00000254,2025-10-17,WH01,P014,Sales Issue,-28,292000.0,SO000050,SOL0000093,,
IM00000255,2025-10-17,WH01,P022,Sales Issue,-4,1677300.0,SO000009,SOL0000015,,
IM00000256,2025-10-18,WH01,P025,Sales Issue,-3,3768300.0,SO000064,SOL0000118,,
IM00000257,2025-10-18,WH01,P027,Sales Issue,-5,2978500.0,SO000064,SOL0000119,,
IM00000258,2025-10-18,WH01,P022,Sales Issue,-2,1661600.0,SO000064,SOL0000120,,
IM00000259,2025-10-18,WH01,P023,Sales Issue,-8,2571900.0,SO000064,SOL0000121,,
IM00000260,2025-10-20,WH01,P003,Sales Issue,-16,313200.0,SO000113,SOL0000199,,
IM00000261,2025-10-21,WH01,P005,Sales Issue,-20,464500.0,SO000113,SOL0000197,,
IM00000262,2025-10-21,WH01,P002,Sales Issue,-27,323100.0,SO000113,SOL0000198,,
IM00000263,2025-10-21,WH01,P001,Sales Issue,-5,450600.0,SO000114,SOL0000200,,
IM00000264,2025-10-24,WH01,P010,PO Receipt,106,231712.25975949998,PO000070,POL0000070,B2509071,2026-10-24
IM00000265,2025-10-24,WH01,P010,Sales Issue,-81,249400.0,SO000063,SOL0000117,,
IM00000266,2025-10-24,WH01,P009,Sales Issue,-24,190100.0,SO000088,SOL0000161,,
IM00000267,2025-10-26,WH01,P002,PO Receipt,18,307391.83821306995,PO000073,POL0000073,B2510074,2027-10-26
IM00000268,2025-10-26,WH01,P002,QA Rejection,-1,307391.83821306995,PO000073,POL0000073,B2510074,
IM00000269,2025-10-26,WH01,P016,PO Receipt,40,374249.1981,PO000075,POL0000075,B2510076,2028-10-25
IM00000270,2025-10-26,WH01,P016,Sales Issue,-23,406300.0,SO000050,SOL0000094,,
