purchase_order_line_id,purchase_order_id,product_id,quantity_ordered,unit_price_local,currency,fx_rate_to_vnd,merchandise_value_vnd,freight_cost_vnd,customs_cost_vnd,expedite_cost_vnd,supplier_role,contract_lead_time_days
POL0000045,PO000045,P026,4,163.3171,USD,25363.5936,16569000.0,16000.0,96000.0,0.0,Primary,42
POL0000046,PO000046,P018,60,8.6463,USD,25277.062,13113000.0,352000.0,333000.0,0.0,Primary,29
POL0000047,PO000047,P021,65,3.8564,USD,25285.0373,6338000.0,181000.0,79000.0,205000.0,Backup,32
POL0000048,PO000048,P014,18,266969.5427,VND,1.0,4805000.0,56000.0,0.0,0.0,Primary,11
POL0000049,PO000049,P023,10,91.8899,USD,25285.0714,23234000.0,64000.0,449000.0,0.0,Primary,43
POL0000050,PO000050,P024,28,132.2985,USD,25285.0714,93665000.0,60000.0,1361000.0,5283000.0,Primary,45
POL0000051,PO000051,P009,30,6.4582,USD,25274.2681,4897000.0,57000.0,26000.0,0.0,Primary,18
POL0000052,PO000052,P011,16,190590.2643,VND,1.0,3049000.0,16000.0,0.0,0.0,Primary,11
POL0000053,PO000053,P001,24,466161.0407,VND,1.0,11188000.0,76000.0,0.0,0.0,Primary,6
POL0000054,PO000054,P026,28,163.3171,USD,25272.9041,115570000.0,153000.0,3690000.0,0.0,Primary,42
POL0000055,PO000055,P005,40,452628.4706,VND,1.0,18105000.0,121000.0,0.0,0.0,Primary,5
POL0000056,PO000056,P006,19,458389.7415,VND,1.0,8709000.0,16000.0,0.0,0.0,Primary,8
POL0000057,PO000057,P009,24,6.4582,USD,25200.3801,3906000.0,110000.0,13000.0,156000.0,Primary,18
POL0000058,PO000058,P023,15,91.8899,USD,25200.3801,34735000.0,57000.0,174000.0,0.0,Primary,43
POL0000059,PO000059,P027,10,120.2876,USD,25200.3801,30313000.0,23000.0,251000.0,0.0,Primary,46
POL0000060,PO000060,P010,78,9.269,USD,25193.3184,18214000.0,341000.0,324000.0,0.0,Primary,38
POL0000061,PO000061,P025,36,134.3898,USD,25200.2623,121920000.0,191000.0,1460000.0,0.0,Backup,24
POL0000062,PO000062,P022,16,62.1467,USD,25212.1399,25070000.0,48000.0,116000.0,0.0,Primary,45
POL0000063,PO000063,P001,66,466161.0407,VND,1.0,30767000.0,219000.0,0.0,0.0,Primary,6
POL0000064,PO000064,P008,12,10.2821,USD,25255.7805,3116000.0,89000.0,2000.0,0.0,Backup,36
POL0000065,PO000065,P009,32,6.4582,USD,25255.7805,5219000.0,51000.0,76000.0,207000.0,Primary,18
POL0000066,PO000066,P011,64,190590.2643,VND,1.0,12198000.0,255000.0,0.0,0.0,Primary,11
POL0000067,PO000067,P008,156,10.2821,USD,25259.7934,40517000.0,811000.0,1256000.0,1304000.0,Backup,36
POL0000068,PO000068,P005,8,452628.4706,VND,1.0,3621000.0,13000.0,0.0,0.0,Primary,5
POL0000069,PO000069,P004,34,85.527,MYR,5698.1842,16570000.0,101000.0,480000.0,0.0,Primary,21
POL0000070,PO000070,P010,106,9.269,USD,24998.6255,24561000.0,138000.0,520000.0,988000.0,Primary,38
POL0000071,PO000071,P004,15,85.527,MYR,5698.4487,7311000.0,82000.0,251000.0,0.0,Primary,21
POL0000072,PO000072,P003,45,337566.0564,VND,1.0,15190000.0,36000.0,0.0,0.0,Primary,12
POL0000073,PO000073,P002,18,12.2839,USD,25023.9613,5533000.0,97000.0,84000.0,0.0,Primary,20
POL0000074,PO000074,P013,84,243349.6941,VND,1.0,20441000.0,256000.0,0.0,609000.0,Primary,8
POL0000075,PO000075,P016,40,374249.1981,VND,1.0,14970000.0,40000.0,0.0,0.0,Backup,14
POL0000076,PO000076,P001,40,464057.7235,VND,1.0,18562000.0,106000.0,0.0,0.0,Primary,8
POL0000077,PO000077,P014,44,305913.9306,VND,1.0,13460000.0,128000.0,0.0,0.0,Backup,10
POL0000078,PO000078,P015,12,96811.3957,VND,1.0,1162000.0,17000.0,0.0,0.0,Primary,8
POL0000079,PO000079,P001,48,18.8831,USD,25019.2633,22677000.0,147000.0,524000.0,0.0,Backup,23
POL0000080,PO000080,P006,22,463758.5862,VND,1.0,10203000.0,32000.0,0.0,0.0,Primary,6
POL0000081,PO000081,P022,4,64.5181,USD,25034.9663,6461000.0,16000.0,142000.0,0.0,Primary,45
POL0000082,PO000082,P022,8,64.5181,USD,25054.3883,12932000.0,17000.0,284000.0,168000.0,Primary,45
POL0000083,PO000083,P023,10,90.0921,USD,25054.3883,22572000.0,46000.0,696000.0,0.0,Primary,44
POL0000084,PO000084,P025,3,148.8116,USD,25054.3883,11185000.0,15000.0,212000.0,0.0,Primary,44
POL0000085,PO000085,P027,33,125.4755,USD,25054.3883,103742000.0,237000.0,1814000.0,2559000.0,Primary,39
POL0000086,PO000086,P003,21,60.5158,MYR,5673.7212,7210000.0,108000.0,225000.0,0.0,Backup,26
POL0000087,PO000087,P002,36,12.2839,USD,25055.6432,11080000.0,178000.0,228000.0,0.0,Primary,20
POL0000088,PO000088,P005,32,450772.4339,VND,1.0,14425000.0,50000.0,0.0,0.0,Primary,9
POL0000089,PO000089,P009,45,6.8111,USD,25042.9661,7676000.0,196000.0,98000.0,424000.0,Primary,22
POL0000090,PO000090,P024,15,138.9853,USD,25130.4555,52391000.0,61000.0,1822000.0,0.0,Primary,40
POL0000091,PO000091,P014,56,272999.5727,VND,1.0,15288000.0,77000.0,0.0,0.0,Primary,11
POL0000092,PO000092,P015,14,96811.3957,VND,1.0,1355000.0,39000.0,0.0,0.0,Primary,8
POL0000093,PO000093,P012,75,281247.2222,VND,1.0,21094000.0,99000.0,0.0,0.0,Primary,11
POL0000094,PO000094,P001,32,464057.7235,VND,1.0,14850000.0,59000.0,0.0,0.0,Primary,8
POL0000095,PO000095,P005,8,450772.4339,VND,1.0,3606000.0,14000.0,0.0,0.0,Primary,9
POL0000096,PO000096,P006,34,85.2112,MYR,5664.8421,16412000.0,70000.0,329000.0,0.0,Backup,28
POL0000097,PO000097,P001,36,464057.7235,VND,1.0,16706000.0,80000.0,0.0,0.0,Primary,8
POL0000098,PO000098,P005,24,450772.4339,VND,1.0,10819000.0,29000.0,0.0,0.0,Primary,9
POL0000099,PO000099,P009,102,6.8111,USD,25099.2112,17437000.0,462000.0,576000.0,0.0,Primary,22
POL0000100,PO000100,P011,15,193383.9082,VND,1.0,2901000.0,55000.0,0.0,0.0,Primary,9
POL0000101,PO000101,P001,60,464057.7235,VND,1.0,27843000.0,160000.0,0.0,0.0,Primary,8
POL0000102,PO000102,P003,36,342178.2925,VND,1.0,12318000.0,34000.0,0.0,0.0,Primary,12
POL0000103,PO000103,P006,51,463758.5862,VND,1.0,23652000.0,79000.0,0.0,755000.0,Primary,6
POL0000104,PO000104,P001,24,18.8831,USD,25180.0483,11411000.0,30000.0,297000.0,0.0,Backup,23
POL0000105,PO000105,P002,24,12.2839,USD,25180.0483,7423000.0,57000.0,92000.0,0.0,Primary,20
POL0000106,PO000106,P005,40,450772.4339,VND,1.0,18031000.0,156000.0,0.0,0.0,Primary,9
POL0000107,PO000107,P022,4,64.5181,USD,25135.4637,6487000.0,21000.0,209000.0,0.0,Primary,45
POL0000108,PO000108,P006,23,463758.5862,VND,1.0,10666000.0,62000.0,0.0,0.0,Primary,6
POL0000109,PO000109,P015,27,81434.6583,VND,1.0,2199000.0,120000.0,0.0,82000.0,Backup,16
POL0000110,PO000110,P016,40,374249.1981,VND,1.0,14970000.0,61000.0,0.0,880000.0,Backup,14
POL0000111,PO000111,P004,170,84.518,MYR,5698.9044,81882000.0,1116000.0,864000.0,0.0,Primary,24
POL0000112,PO000112,P009,41,178471.6381,VND,1.0,7317000.0,176000.0,0.0,0.0,Backup,8
POL0000113,PO000113,P001,60,464057.7235,VND,1.0,27843000.0,264000.0,0.0,0.0,Primary,8
POL0000114,PO000114,P024,18,138.9853,USD,25093.1108,62776000.0,51000.0,1555000.0,0.0,Primary,40
POL0000115,PO000115,P004,21,84.518,MYR,5733.0759,10176000.0,25000.0,290000.0,0.0,Primary,24
POL0000116,PO000116,P017,122,148051.1272,VND,1.0,18062000.0,233000.0,0.0,854000.0,Primary,10
POL0000117,PO000117,P019,28,7.9318,USD,25105.606,5576000.0,70000.0,39000.0,299000.0,Backup,38
POL0000118,PO000118,P020,112,260658.9066,VND,1.0,29194000.0,210000.0,0.0,1393000.0,Primary,10
POL0000119,PO000119,P021,30,3.5176,USD,25128.4001,2652000.0,100000.0,64000.0,47000.0,Primary,32
POL0000120,PO000120,P007,54,134824.6359,VND,1.0,7281000.0,82000.0,0.0,0.0,Backup,11
POL0000121,PO000121,P012,45,281247.2222,VND,1.0,12656000.0,72000.0,0.0,304000.0,Primary,11
POL0000122,PO000122,P018,112,254084.5737,VND,1.0,28457000.0,253000.0,0.0,831000.0,Backup,4
POL0000123,PO000123,P004,15,84.518,MYR,5772.2003,7318000.0,68000.0,18000.0,0.0,Primary,24
POL0000124,PO000124,P005,24,16.5605,USD,25205.2348,10018000.0,77000.0,175000.0,0.0,Backup,23
POL0000125,PO000125,P008,152,10.1917,USD,25205.2348,39046000.0,228000.0,358000.0,407000.0,Primary,20
POL0000126,PO000126,P009,20,6.8111,USD,25205.2348,3434000.0,37000.0,14000.0,0.0,Primary,22
POL0000127,PO000127,P010,96,9.4219,USD,25205.2348,22798000.0,421000.0,445000.0,0.0,Primary,40
POL0000128,PO000128,P011,15,193383.9082,VND,1.0,2901000.0,64000.0,0.0,0.0,Primary,9
POL0000129,PO000129,P001,54,18.8831,USD,25225.9516,25723000.0,324000.0,501000.0,0.0,Backup,23
POL0000130,PO000130,P006,78,85.2112,MYR,5781.4874,38427000.0,483000.0,292000.0,0.0,Backup,28
POL0000131,PO000131,P002,16,310229.8571,VND,1.0,4964000.0,57000.0,0.0,0.0,Backup,5
POL0000132,PO000132,P006,19,463758.5862,VND,1.0,8811000.0,18000.0,0.0,497000.0,Primary,6
POL0000133,PO000133,P002,24,12.2839,USD,25251.9068,7445000.0,62000.0,255000.0,0.0,Primary,20
POL0000134,PO000134,P003,30,342178.2925,VND,1.0,10265000.0,95000.0,0.0,0.0,Primary,12
POL0000135,PO000135,P004,35,84.518,MYR,5781.8278,17103000.0,73000.0,163000.0,0.0,Primary,24
POL0000136,PO000136,P022,4,64.5181,USD,25358.3789,6544000.0,6000.0,208000.0,228000.0,Primary,45
POL0000137,PO000137,P001,80,464057.7235,VND,1.0,37125000.0,188000.0,0.0,727000.0,Primary,8
POL0000138,PO000138,P006,15,463758.5862,VND,1.0,6956000.0,51000.0,0.0,0.0,Primary,6
POL0000139,PO000139,P023,10,90.0921,USD,25363.7283,22851000.0,44000.0,365000.0,0.0,Primary,44
POL0000140,PO000140,P027,12,125.4755,USD,25363.7283,38190000.0,19000.0,1302000.0,0.0,Primary,39
POL0000141,PO000141,P019,5,8.1637,USD,25389.9413,1036000.0,25000.0,8000.0,0.0,Primary,26
POL0000142,PO000142,P017,68,148051.1272,VND,1.0,10067000.0,137000.0,0.0,0.0,Primary,10
POL0000143,PO000143,P018,42,8.8817,USD,25439.8389,9490000.0,193000.0,117000.0,0.0,Primary,26
POL0000144,PO000144,P015,28,96811.3957,VND,1.0,2711000.0,36000.0,0.0,0.0,Primary,8
POL0000145,PO000145,P016,56,427182.4502,VND,1.0,23922000.0,193000.0,0.0,998000.0,Primary,7
POL0000146,PO000146,P002,36,12.2839,USD,25446.5538,11253000.0,250000.0,237000.0,0.0,Primary,20
POL0000147,PO000147,P003,60,342178.2925,VND,1.0,20531000.0,149000.0,0.0,0.0,Primary,12
POL0000148,PO000148,P001,36,464057.7235,VND,1.0,16706000.0,47000.0,0.0,0.0,Primary,8
POL0000149,PO000149,P002,48,12.2839,USD,25405.7934,14980000.0,239000.0,412000.0,0.0,Primary,20
POL0000150,PO000150,P005,48,450772.4339,VND,1.0,21637000.0,184000.0,0.0,269000.0,Primary,9
POL0000151,PO000151,P006,46,17.7381,USD,25405.7934,20730000.0,157000.0,547000.0,0.0,Backup,25
POL0000152,PO000152,P003,48,342178.2925,VND,1.0,16425000.0,92000.0,0.0,585000.0,Primary,12
POL0000153,PO000153,P010,30,9.4219,USD,25405.4072,7181000.0,44000.0,207000.0,0.0,Primary,40
POL0000154,PO000154,P001,40,464057.7235,VND,1.0,18562000.0,136000.0,0.0,0.0,Primary,8
POL0000155,PO000155,P005,32,450772.4339,VND,1.0,14425000.0,120000.0,0.0,0.0,Primary,9
POL0000156,PO000156,P017,168,148051.1272,VND,1.0,24873000.0,701000.0,0.0,672000.0,Primary,10
POL0000157,PO000157,P002,18,12.2839,USD,25436.1233,5624000.0,40000.0,109000.0,0.0,Primary,20
POL0000158,PO000158,P003,30,342178.2925,VND,1.0,10265000.0,94000.0,0.0,0.0,Primary,12
POL0000159,PO000159,P002,18,12.2839,USD,25438.3751,5625000.0,88000.0,34000.0,0.0,Primary,20
POL0000160,PO000160,P012,44,287242.5753,VND,1.0,12639000.0,56000.0,0.0,0.0,Primary,7
POL0000161,PO000161,P026,24,169.9504,USD,25483.5237,103942000.0,106000.0,2614000.0,2510000.0,Primary,40
POL0000162,PO000162,P001,44,486850.5765,VND,1.0,21421000.0,126000.0,0.0,0.0,Primary,7
POL0000163,PO000163,P006,22,18.3272,USD,25462.428,10266000.0,160000.0,199000.0,0.0,Backup,18
POL0000164,PO000164,P012,56,287242.5753,VND,1.0,16086000.0,102000.0,0.0,0.0,Primary,7
POL0000165,PO000165,P002,28,12.4336,USD,25458.2927,8863000.0,101000.0,226000.0,0.0,Primary,21
POL0000166,PO000166,P022,15,63.1982,USD,25472.4003,24147000.0,59000.0,567000.0,474000.0,Primary,45
POL0000167,PO000167,P023,12,97.9922,USD,25472.4003,29953000.0,44000.0,620000.0,743000.0,Primary,41
POL0000168,PO000168,P024,12,135.7743,USD,25472.4003,41502000.0,24000.0,147000.0,0.0,Primary,41
POL0000169,PO000169,P026,21,169.9504,USD,25472.4003,90910000.0,91000.0,495000.0,3532000.0,Primary,40
POL0000170,PO000170,P002,18,334460.1674,VND,1.0,6020000.0,68000.0,0.0,0.0,Backup,5
POL0000171,PO000171,P001,64,486850.5765,VND,1.0,31158000.0,250000.0,0.0,0.0,Primary,7
POL0000172,PO000172,P004,17,87.4011,MYR,5791.5532,8605000.0,108000.0,100000.0,0.0,Primary,28
POL0000173,PO000173,P019,18,235296.2715,VND,1.0,4235000.0,67000.0,0.0,0.0,Backup,10
POL0000174,PO000174,P002,42,334460.1674,VND,1.0,14047000.0,71000.0,0.0,0.0,Backup,5
POL0000175,PO000175,P004,51,87.4011,MYR,5782.4463,25775000.0,304000.0,863000.0,1388000.0,Primary,28
POL0000176,PO000176,P003,72,354940.1677,VND,1.0,25556000.0,179000.0,0.0,452000.0,Primary,7
POL0000177,PO000177,P022,6,63.1982,USD,25537.6326,9684000.0,37000.0,68000.0,0.0,Primary,45
POL0000178,PO000178,P023,4,97.9922,USD,25537.6326,10010000.0,15000.0,315000.0,0.0,Primary,41
POL0000179,PO000179,P024,6,135.7743,USD,25537.6326,20804000.0,29000.0,375000.0,484000.0,Primary,41
POL0000180,PO000180,P025,3,151.4212,USD,25537.6326,11601000.0,7000.0,180000.0,0.0,Primary,46
POL0000181,PO000181,P027,4,131.8507,USD,25537.6326,13469000.0,20000.0,76000.0,0.0,Backup,22
POL0000182,PO000182,P002,70,12.4336,USD,25535.1535,22225000.0,400000.0,490000.0,663000.0,Primary,21
POL0000183,PO000183,P006,23,478270.5275,VND,1.0,11000000.0,42000.0,0.0,0.0,Primary,10
POL0000184,PO000184,P012,44,287242.5753,VND,1.0,12639000.0,123000.0,0.0,250000.0,Primary,7
POL0000185,PO000185,P003,102,354940.1677,VND,1.0,36204000.0,267000.0,0.0,1507000.0,Primary,7
POL0000186,PO000186,P001,68,486850.5765,VND,1.0,33106000.0,172000.0,0.0,0.0,Primary,7
POL0000187,PO000187,P026,9,161.668,USD,25576.5602,37214000.0,23000.0,720000.0,0.0,Backup,23
POL0000188,PO000188,P012,52,287242.5753,VND,1.0,14937000.0,210000.0,0.0,278000.0,Primary,7
POL0000189,PO000189,P002,28,12.4336,USD,25560.1947,8899000.0,170000.0,281000.0,0.0,Primary,21
POL0000190,PO000190,P011,56,203308.766,VND,1.0,11385000.0,243000.0,0.0,0.0,Primary,5
POL0000191,PO000191,P020,24,270845.9024,VND,1.0,6500000.0,93000.0,0.0,0.0,Primary,10
POL0000192,PO000192,P001,32,486850.5765,VND,1.0,15579000.0,81000.0,0.0,0.0,Primary,7
POL0000193,PO000193,P001,24,486850.5765,VND,1.0,11684000.0,80000.0,0.0,0.0,Primary,7
POL0000194,PO000194,P003,24,354940.1677,VND,1.0,8519000.0,38000.0,0.0,0.0,Primary,7
POL0000195,PO000195,P002,35,12.4336,USD,25591.2724,11137000.0,179000.0,138000.0,0.0,Primary,21
POL0000196,PO000196,P006,36,478270.5275,VND,1.0,17218000.0,112000.0,0.0,0.0,Primary,10
POL0000197,PO000197,P007,164,4.6347,USD,25617.7344,19472000.0,262000.0,460000.0,763000.0,Primary,21
POL0000198,PO000198,P005,48,486273.7277,VND,1.0,23341000.0,176000.0,0.0,503000.0,Primary,10
POL0000199,PO000199,P001,32,486850.5765,VND,1.0,15579000.0,119000.0,0.0,0.0,Primary,7
POL0000200,PO000200,P003,24,354940.1677,VND,1.0,8519000.0,90000.0,0.0,0.0,Primary,7
POL0000201,PO000201,P006,60,18.3272,USD,25577.5928,28126000.0,181000.0,578000.0,1200000.0,Backup,18
POL0000202,PO000202,P006,98,478270.5275,VND,1.0,46871000.0,317000.0,0.0,0.0,Primary,10
POL0000203,PO000203,P020,165,10.9329,USD,25531.7029,46057000.0,1101000.0,1415000.0,2163000.0,Backup,37
POL0000204,PO000204,P004,32,87.4011,MYR,5734.9391,16040000.0,171000.0,438000.0,0.0,Primary,28
POL0000205,PO000205,P001,36,486850.5765,VND,1.0,17527000.0,129000.0,0.0,0.0,Primary,7
POL0000206,PO000206,P004,13,87.4011,MYR,5743.9306,6526000.0,38000.0,29000.0,0.0,Primary,28
POL0000207,PO000207,P005,12,486273.7277,VND,1.0,5835000.0,25000.0,0.0,0.0,Primary,10
POL0000208,PO000208,P006,36,478270.5275,VND,1.0,17218000.0,126000.0,0.0,0.0,Primary,10
POL0000209,PO000209,P003,24,354940.1677,VND,1.0,8519000.0,92000.0,0.0,0.0,Primary,7
POL0000210,PO000210,P005,16,486273.7277,VND,1.0,7780000.0,39000.0,0.0,0.0,Primary,10
POL0000211,PO000211,P005,28,16.9707,USD,25345.3714,12044000.0,141000.0,255000.0,0.0,Backup,20
POL0000212,PO000212,P003,24,354940.1677,VND,1.0,8519000.0,52000.0,0.0,0.0,Primary,7
POL0000213,PO000213,P001,40,486850.5765,VND,1.0,19474000.0,36000.0,0.0,0.0,Primary,7
POL0000214,PO000214,P002,30,53.6863,MYR,5771.4654,9295000.0,37000.0,102000.0,0.0,Backup,26
POL0000215,PO000215,P004,33,87.4011,MYR,5771.4654,16646000.0,70000.0,487000.0,0.0,Primary,28
POL0000216,PO000216,P002,42,12.4336,USD,25486.8809,13310000.0,134000.0,178000.0,222000.0,Primary,21
POL0000217,PO000217,P003,54,354940.1677,VND,1.0,19167000.0,179000.0,0.0,0.0,Primary,7
POL0000218,PO000218,P001,28,486850.5765,VND,1.0,13632000.0,57000.0,0.0,0.0,Primary,7
POL0000219,PO000219,P023,6,101.4909,USD,25509.1624,15534000.0,43000.0,355000.0,0.0,Backup,24
POL0000220,PO000220,P003,66,354940.1677,VND,1.0,23426000.0,257000.0,0.0,1300000.0,Primary,7
POL0000221,PO000221,P006,17,478270.5275,VND,1.0,8131000.0,17000.0,0.0,0.0,Primary,10
POL0000222,PO000222,P004,16,87.4011,MYR,5764.0135,8060000.0,91000.0,17000.0,0.0,Primary,28
POL0000223,PO000223,P006,13,478270.5275,VND,1.0,6218000.0,11000.0,0.0,0.0,Primary,10
POL0000224,PO000224,P001,36,486850.5765,VND,1.0,17527000.0,128000.0,0.0,0.0,Primary,7
POL0000225,PO000225,P022,12,63.1982,USD,25461.6865,19310000.0,35000.0,617000.0,0.0,Primary,45
POL0000226,PO000226,P024,8,141.6587,USD,25452.5426,28845000.0,27000.0,908000.0,0.0,Backup,28
POL0000227,PO000227,P026,10,160.6904,USD,25458.1444,40909000.0,60000.0,1333000.0,0.0,Backup,25
POL0000228,PO000228,P005,28,16.9707,USD,25456.4969,12096000.0,91000.0,301000.0,0.0,Backup,20
POL0000229,PO000229,P003,24,354940.1677,VND,1.0,8519000.0,35000.0,0.0,0.0,Primary,7
POL0000230,PO000230,P003,18,354940.1677,VND,1.0,6389000.0,60000.0,0.0,0.0,Primary,7
POL0000231,PO000231,P002,35,12.4336,USD,25385.7678,11047000.0,122000.0,351000.0,0.0,Primary,21
POL0000232,PO000232,P018,51,9.0714,USD,25409.3029,11755000.0,181000.0,177000.0,371000.0,Primary,26
POL0000233,PO000233,P006,30,18.3272,USD,25406.6327,13969000.0,195000.0,77000.0,0.0,Backup,18
POL0000234,PO000234,P021,56,3.5122,USD,25406.6327,4997000.0,102000.0,16000.0,174000.0,Primary,27
