purchase_order_id,po_date,supplier_id,buyer_id,expected_receipt_date,actual_receipt_date,currency,fx_rate_to_vnd,payment_term,incoterm,po_status
PO000161,2026-04-01,S007,E201,2026-05-11,2026-05-12,USD,25483.5237,30% Deposit,FOB,Received
PO000162,2026-04-04,S003,E201,2026-04-11,2026-04-11,VND,1.0,Net 30,DAP,Received
PO000163,2026-04-08,S002,E201,2026-04-26,2026-04-26,USD,25462.428,Net 45,CIF,Received
PO000164,2026-04-08,S014,E201,2026-04-15,2026-04-15,VND,1.0,Net 30,DAP,Received
PO000165,2026-04-09,S002,E201,2026-04-30,2026-05-16,USD,25458.2927,Net 45,CIF,Received
PO000166,2026-04-11,S007,E201,2026-05-26,2026-05-26,USD,25472.4003,30% Deposit,FOB,Received
PO000167,2026-04-11,S007,E201,2026-05-22,2026-05-22,USD,25472.4003,30% Deposit,FOB,Received
PO000168,2026-04-11,S007,E201,2026-05-22,2026-05-22,USD,25472.4003,30% Deposit,FOB,Received
PO000169,2026-04-11,S007,E201,2026-05-21,2026-05-21,USD,25472.4003,30% Deposit,FOB,Received
PO000170,2026-04-23,S003,E201,2026-04-28,2026-04-28,VND,1.0,Net 30,DAP,Received
PO000171,2026-04-26,S003,E201,2026-05-03,2026-05-03,VND,1.0,Net 30,DAP,Received
PO000172,2026-04-26,S001,E201,2026-05-24,2026-05-24,MYR,5791.5532,Net 30,CIF,Received
PO000173,2026-04-26,S016,E201,2026-05-06,2026-05-06,VND,1.0,COD,DAP,Received
PO000174,2026-04-28,S003,E201,2026-05-03,2026-05-03,VND,1.0,Net 30,DAP,Received
PO000175,2026-04-29,S001,E201,2026-05-27,2026-05-27,MYR,5782.4463,Net 30,CIF,Received
PO000176,2026-04-30,S003,E201,2026-05-07,2026-05-07,VND,1.0,Net 30,DAP,Received
PO000177,2026-05-01,S007,E201,2026-06-15,2026-07-01,USD,25537.6326,30% Deposit,FOB,Received
PO000178,2026-05-01,S007,E201,2026-06-11,2026-06-11,USD,25537.6326,30% Deposit,FOB,Received
PO000179,2026-05-01,S007,E201,2026-06-11,2026-06-11,USD,25537.6326,30% Deposit,FOB,Received
PO000180,2026-05-01,S007,E201,2026-06-16,2026-06-18,USD,25537.6326,30% Deposit,FOB,Received
PO000181,2026-05-01,S008,E201,2026-05-23,2026-05-23,USD,25537.6326,Net 45,CIF,Received
PO000182,2026-05-03,S002,E201,2026-05-24,2026-05-24,USD,25535.1535,Net 45,CIF,Received
PO000183,2026-05-06,S003,E201,2026-05-16,2026-05-16,VND,1.0,Net 30,DAP,Received
PO000184,2026-05-06,S014,E201,2026-05-13,2026-05-13,VND,1.0,Net 30,DAP,Received
PO000185,2026-05-10,S003,E201,17/05/2026,2026-05-17,VND,1.0,Net 30,DAP,Received
PO000186,2026-05-11,S003,E201,2026-05-18,2026-05-20,VND,1.0,Net 30,DAP,Received
PO000187,2026-05-12,S009,E201,2026-06-04,2026-06-04,USD,25576.5602,Net 30,CIF,Received
PO000188,2026-05-15,S014,E201,2026-05-22,2026-05-22,VND,1.0,Net 30,DAP,Received
PO000189,2026-05-16,S002,E201,2026-06-06,2026-06-08,USD,25560.1947,Net 45,CIF,Received
PO000190,2026-05-23,S003,E201,2026-05-28,2026-05-30,VND,1.0,Net 30,DAP,Received
PO000191,2026-05-26,S016,E201,2026-06-05,2026-06-05,VND,1.0,COD,DAP,Received
PO000192,2026-05-27,S003,E201,2026-06-03,2026-06-03,VND,1.0,Net 30,DAP,Received
PO000193,2026-05-29,S003,E201,2026-06-05,2026-06-05,VND,1.0,Net 30,DAP,Received
PO000194,2026-05-29,S003,E201,2026-06-05,2026-06-05,VND,1.0,Net 30,DAP,Received
PO000195,2026-05-30,S002,E201,2026-06-20,2026-06-23,USD,25591.2724,Net 45,CIF,Received
PO000196,2026-05-30,S003,E201,2026-06-09,2026-06-09,VND,1.0,Net 30,DAP,Received
PO000197,2026-05-31,S015,E201,2026-06-21,2026-06-21,USD,25617.7344,Net 30,CIF,Received
PO000198,2026-06-02,S003,E201,2026-06-12,2026-06-12,VND,1.0,Net 30,DAP,Received
PO000199,2026-06-03,S003,E201,2026-06-10,2026-06-10,VND,1.0,Net 30,DAP,Received
PO000200,2026-06-05,S003,E201,2026-06-12,2026-06-12,VND,1.0,Net 30,DAP,Received
PO000201,2026-06-05,S002,E201,2026-06-23,2026-06-25,USD,25577.5928,Net 45,CIF,Received
PO000202,2026-06-20,S003,E201,2026-06-30,2026-07-01,VND,1.0,Net 30,DAP,Received
PO000203,2026-06-24,S005,E201,2026-07-31,2026-08-02,USD,25531.7029,50% Deposit,EXW,Received
PO000204,2026-06-27,S001,E201,2026-07-25,2026-07-27,MYR,5734.9391,Net 30,CIF,Received
PO000205,2026-06-28,S003,E201,2026-07-05,2026-07-06,VND,1.0,Net 30,DAP,Received
PO000206,2026-07-01,S001,E201,2026-07-29,2026-07-31,MYR,5743.9306,Net 30,CIF,Received
PO000207,2026-07-01,S003,E201,2026-07-11,2026-07-12,VND,1.0,Net 30,DAP,Received
PO000208,2026-07-02,S003,E201,2026-07-12,2026-07-12,VND,1.0,Net 30,DAP,Received
PO000209,2026-07-03,S003,E201,2026-07-10,2026-07-12,VND,1.0,Net 30,DAP,Received
PO000210,2026-07-07,S003,E201,2026-07-17,2026-07-17,VND,1.0,Net 30,DAP,Received
PO000211,2026-07-12,S002,E201,2026-08-01,2026-08-01,USD,25345.3714,Net 45,CIF,Received
PO000212,2026-07-15,S003,E201,2026-07-22,2026-07-23,VND,1.0,Net 30,DAP,Received
PO000213,2026-07-22,S003,E201,2026-07-29,2026-07-29,VND,1.0,Net 30,DAP,Received
PO000214,2026-07-27,S001,E201,2026-08-22,2026-08-22,MYR,5771.4654,Net 30,CIF,Received
PO000215,2026-07-27,S001,E201,2026-08-24,2026-08-24,MYR,5771.4654,Net 30,CIF,Received
PO000216,2026-08-02,S002,E201,2026-08-23,2026-08-23,USD,25486.8809,Net 45,CIF,Received
PO000217,2026-08-02,S003,E201,2026-08-09,2026-08-09,VND,1.0,Net 30,DAP,Received
PO000218,2026-08-03,S003,E201,2026-08-10,2026-08-11,VND,1.0,Net 30,DAP,Received
PO000219,2026-08-05,S008,E201,2026-08-29,2026-08-29,USD,25509.1624,Net 45,CIF,Received
PO000220,2026-08-08,S003,E201,2026-08-15,2026-08-16,VND,1.0,Net 30,DAP,Received
PO000221,2026-08-09,S003,E201,2026-08-19,2026-08-19,VND,1.0,Net 30,DAP,Received
PO000222,2026-08-11,S001,E201,2026-09-08,,MYR,5764.0135,Net 30,CIF,Open
PO000223,2026-08-11,S003,E201,2026-08-21,2026-08-23,VND,1.0,Net 30,DAP,Received
PO000224,2026-08-12,S003,E201,2026-08-19,2026-08-19,VND,1.0,Net 30,DAP,Received
PO000225,2026-08-13,S007,E201,2026-09-27,,USD,25461.6865,30% Deposit,FOB,Open
PO000226,2026-08-14,S009,E201,2026-09-11,,USD,25452.5426,Net 30,CIF,Open
PO000227,2026-08-15,S008,E201,2026-09-09,,USD,25458.1444,Net 45,CIF,Open
PO000228,2026-08-18,S002,E201,2026-09-07,,USD,25456.4969,Net 45,CIF,Open
PO000229,2026-08-19,S003,E201,2026-08-26,2026-08-26,VND,1.0,Net 30,DAP,Received
PO000230,2026-08-22,S003,E201,2026-08-29,2026-08-30,VND,1.0,Net 30,DAP,Received
PO000231,2026-08-26,S002,E201,2026-09-16,,USD,25385.7678,Net 45,CIF,Open
PO000232,2026-08-30,S006,E201,2026-09-25,,USD,25409.3029,Net 30,FOB,Open
PO000233,2026-08-31,S002,E201,2026-09-18,,USD,25406.6327,Net 45,CIF,Open
PO000234,2026-08-31,S006,E201,2026-09-27,,USD,25406.6327,Net 30,FOB,Open
